current day temperature,previous day temperature,current day salinity,previous day salinity,death
27,29,38,37,1
29,31,37,37,0
31,31,37,39,0
31,35,39,40,0
35,29,40,39,0
29,31,39,39,0
31,32,39,38,0
32,27,38,39,0
27,26,39,39,0
26,26,39,39,0
26,26,39,38,0
26,26,38,40,0
26,26,40,38,0
26,26,38,40,0
26,25,40,38,0
25,25,38,38,0
25,26,38,38,0
26,26,38,37,0
26,26,37,38,0
26,26,38,37,0
26,26,37,38,0
26,28,38,37,0
28,25,37,38,0
25,26,38,40,0
26,27,40,39,0
27,27,39,40,0
27,27,40,39,0
27,32,39,39,0
32,30,39,39,0
30,27,39,37,0
28,28,34,34,1
28,28,34,35,0
28,29,35,32,0
29,30,32,32,0
30,31,32,32,0
31,26,32,34,0
26,23,34,34,0
23,19,34,33,0
19,19,33,33,0
19,26,33,34,0
26,26,34,34,0
26,9,34,31,0
9,9,31,31,0
9,22,31,40,0
23,20,4,4,1
20,21,4,35,0
21,28,35,35,0
17,22,39,40,1
27,27,38,37,0
27,27,37,37,0
27,25,37,36,0
25,29,36,38,0
29,31,38,38,0
31,31,38,39,0
31,26,39,39,0
26,32,39,39,0
32,32,39,39,0
32,26,39,39,0
26,26,39,39,0
26,26,39,40,0
26,26,40,37,0
26,26,37,40,0
26,26,40,38,0
26,26,38,38,0
26,26,38,38,0
26,26,38,38,0
26,26,38,38,0
26,26,38,37,0
26,26,37,38,0
26,26,38,38,0
26,25,38,38,0
25,26,38,40,0
26,27,40,39,0
27,27,39,39,0
27,27,39,39,0
27,32,39,40,0
32,30,40,39,0
30,27,39,37,0
17,24,39,40,1
24,26,40,37,0
26,29,37,35,0
29,28,35,36,0
28,29,36,37,0
29,28,37,37,0
28,29,37,36,0
29,28,36,34,0
28,27,34,33,0
27,30,33,33,0
30,31,33,32,0
31,29,32,32,0
29,26,32,34,0
26,19,34,34,0
19,19,34,34,0
19,19,34,33,0
19,18,33,33,0
18,17,33,34,0
17,9,34,31,0
9,22,31,40,0
29,31,36,35,0
31,34,35,29,0
34,34,29,31,0
34,32,31,36,0
32,32,36,36,0
32,27,36,36,0
27,29,36,38,0
29,31,38,40,0
31,30,40,40,0
30,30,40,39,0
30,26,39,39,0
26,32,39,38,0
32,27,38,38,0
27,25,38,39,0
25,27,39,36,0
27,27,36,38,0
27,27,38,38,0
27,27,38,39,0
17,17,35,35,0
17,18,35,36,0
18,23,36,36,0
23,29,36,35,0
29,31,35,35,0
31,31,35,36,0
31,29,36,35,0
29,29,35,36,0
29,29,36,37,0
29,28,37,35,0
28,29,35,36,0
29,29,36,35,0
29,29,35,36,0
29,26,36,36,0
26,26,36,36,0
26,26,36,38,0
26,26,38,39,0
26,21,39,39,0
21,15,39,39,0
15,18,39,38,0
18,16,38,39,0
16,15,39,38,0
15,15,38,38,0
15,15,38,38,0
15,15,38,38,0
15,12,38,38,0
12,24,38,40,0
35,31,29,40,1
31,31,40,38,0
31,25,38,36,0
25,29,36,36,0
29,32,36,37,0
32,32,37,35,0
32,29,35,38,0
29,27,38,39,0
27,33,39,39,0
33,23,39,36,0
23,26,36,39,0
26,26,39,34,0
26,25,34,29,0
25,25,29,29,0
25,25,29,29,0
25,23,29,39,0
23,23,39,38,0
23,24,38,40,0
24,23,40,39,0
23,23,39,40,0
23,24,40,40,0
24,25,40,39,0
25,26,39,39,0
26,27,39,39,0
27,32,39,39,0
32,27,39,39,0
27,27,39,37,0
27,27,38,37,0
27,27,37,37,0
27,31,37,36,0
31,35,36,29,0
35,34,29,28,0
34,34,28,40,0
34,32,40,37,0
32,32,37,37,0
32,20,37,36,0
20,29,36,35,0
29,29,35,40,0
29,29,40,39,0
29,29,39,37,0
29,27,37,39,0
27,30,39,39,0
30,26,39,39,0
26,27,39,38,0
27,27,38,38,0
27,27,38,38,0
27,26,38,37,0
26,26,37,39,0
26,26,39,37,0
26,25,37,35,0
25,26,35,30,0
26,25,30,30,0
25,25,30,30,0
25,25,30,28,0
25,25,28,28,0
25,24,28,28,0
24,27,28,37,0
17,17,36,36,0
17,20,36,37,0
20,20,37,36,0
20,23,36,40,0
23,27,40,38,0
27,27,38,38,0
27,26,38,39,0
26,26,39,39,0
26,31,39,36,0
31,29,36,39,0
29,30,39,36,0
30,29,36,37,0
29,27,37,36,0
27,27,36,36,0
27,28,36,36,0
28,29,36,35,0
29,29,35,35,0
29,29,35,35,0
29,30,35,33,0
30,31,33,32,0
31,30,32,32,0
30,30,32,32,0
30,30,32,33,0
30,32,33,32,0
32,30,32,30,0
30,28,30,30,0
28,31,30,30,0
31,28,30,31,0
28,28,31,36,0
28,27,36,39,0
27,29,38,37,0
29,31,37,37,0
31,31,37,39,0
31,35,39,40,0
35,29,40,39,0
29,31,39,39,0
31,32,39,38,0
32,27,38,39,0
27,26,39,39,0
26,26,39,39,0
26,26,39,38,0
26,26,38,40,0
26,26,40,38,0
26,26,38,40,0
26,25,40,38,0
25,25,38,38,0
25,26,38,38,0
26,26,38,37,0
26,26,37,38,0
26,26,38,37,0
26,26,37,38,0
26,28,38,37,0
28,25,37,38,0
25,26,38,40,0
26,27,40,39,0
27,27,39,40,0
27,27,40,39,0
27,32,39,39,0
32,30,39,39,0
30,27,39,37,0
27,29,38,37,0
29,31,37,37,0
31,31,37,39,0
31,35,39,40,0
35,29,40,39,0
29,31,39,39,0
31,32,39,38,0
32,27,38,39,0
27,26,39,39,0
26,26,39,39,0
26,26,39,38,0
26,26,38,40,0
26,26,40,38,0
26,26,38,40,0
26,25,40,38,0
25,25,38,38,0
25,26,38,38,0
26,26,38,37,0
26,26,37,38,0
26,26,38,37,0
26,26,37,38,0
26,28,38,37,0
28,25,37,38,0
25,26,38,40,0
26,27,40,39,0
27,27,39,40,0
27,27,40,39,0
27,32,39,39,0
32,30,39,39,0
30,27,39,37,0
24,24,40,40,1
24,24,40,40,0
24,24,40,40,0
24,24,40,40,0
24,24,40,40,0
24,24,40,40,0
24,24,40,40,0
24,24,40,40,0
24,24,40,40,0
24,24,40,40,0
24,24,40,40,0
24,9,40,35,0
9,11,35,36,0
11,13,36,36,0
13,15,36,36,0
15,15,36,38,0
15,16,38,39,0
16,16,39,39,0
16,16,39,39,0
16,22,39,40,0
22,24,40,36,0
24,26,36,36,0
26,26,36,36,0
26,26,36,37,0
26,29,37,35,0
29,29,35,35,0
29,29,35,32,0
29,29,32,33,0
29,29,33,32,0
29,29,32,32,0
29,27,32,34,0
27,19,34,34,0
19,19,34,34,0
19,18,34,33,0
18,18,33,33,0
18,19,33,34,0
19,19,34,34,0
19,13,34,34,0
13,13,34,34,0
13,9,34,31,0
9,9,31,31,0
9,22,31,40,0
6,7,2,36,1
7,9,36,35,0
9,9,35,36,0
9,9,36,35,0
9,13,35,36,0
13,13,36,36,0
13,14,36,36,0
14,15,36,37,0
15,15,37,37,0
15,15,37,37,0
15,15,37,37,0
15,16,37,39,0
16,16,39,40,0
16,16,40,39,0
16,16,39,39,0
16,16,39,39,0
16,24,39,40,0
29,29,32,32,1
29,29,32,35,0
29,27,35,33,0
27,31,33,36,0
31,29,36,36,0
29,26,36,37,0
26,26,37,36,0
26,26,36,36,0
26,26,36,34,0
26,26,34,38,0
26,23,38,39,0
23,17,39,39,0
17,22,39,40,0
30,28,8,35,1
29,29,36,35,1
29,28,35,34,0
28,28,34,34,0
28,30,34,33,0
30,31,33,32,0
31,32,32,32,0
32,24,32,40,0
30,30,39,39,0
30,31,39,37,0
31,26,37,36,0
26,26,36,36,0
26,27,36,36,0
27,29,36,36,0
29,25,36,37,0
25,30,37,35,0
30,30,35,33,0
30,30,33,34,0
30,26,34,35,0
26,28,35,33,0
28,31,33,32,0
31,31,32,32,0
31,31,32,34,0
31,31,34,34,0
31,29,34,34,0
29,30,34,34,0
30,30,34,32,0
30,30,32,34,0
30,29,34,34,0
29,29,34,34,0
29,31,34,34,0
31,30,34,36,0
30,31,36,34,0
31,29,34,32,0
29,28,32,34,0
28,27,34,33,0
27,30,33,34,0
30,28,34,35,0
18,17,33,34,1
17,9,34,31,0
9,22,31,40,0
32,32,31,31,0
32,31,31,34,0
31,29,34,31,0
29,29,31,30,0
29,29,30,33,0
29,29,33,36,0
29,27,36,37,0
27,26,37,37,0
26,25,37,37,0
25,23,37,35,0
23,22,35,32,0
22,24,32,29,0
24,24,29,37,0
24,26,37,37,0
26,26,37,36,0
26,26,36,35,0
26,24,35,38,0
24,26,38,39,0
26,26,39,39,0
26,22,39,39,0
22,16,39,39,0
16,18,39,40,0
18,16,40,39,0
16,15,39,38,0
15,15,38,38,0
15,16,38,38,0
16,24,38,40,0
6,6,2,34,1
6,6,34,34,0
6,6,34,32,0
6,10,32,35,0
10,10,35,35,0
10,14,35,36,0
14,15,36,36,0
15,15,36,36,0
15,15,36,36,0
15,15,36,37,0
15,15,37,37,0
15,15,37,37,0
15,16,37,39,0
16,16,39,39,0
16,16,39,39,0
16,24,39,40,0
23,23,37,37,0
23,23,37,35,0
23,23,35,39,0
23,23,39,29,0
23,22,29,40,0
22,17,40,39,0
17,17,39,39,0
17,16,39,39,0
16,15,39,38,0
15,15,38,38,0
15,15,38,38,0
15,15,38,37,0
15,14,37,38,0
14,14,38,38,0
14,14,38,40,0
14,14,40,38,0
14,15,38,38,0
15,15,38,38,0
15,14,38,38,0
14,14,38,38,0
