min_temp,max_temp,Δtemp,min_sal,max_sal,Δsal,days_passed
17,17,0,39,39,0,23
24,24,0,40,40,0,22
26,26,0,37,37,0,21
29,29,0,35,35,0,20
28,28,0,36,36,0,19
29,29,0,37,37,0,18
28,28,0,37,37,0,17
29,29,0,36,36,0,16
28,28,0,34,34,0,15
27,27,0,33,33,0,14
30,30,0,33,33,0,13
31,31,0,32,32,0,12
29,29,0,32,32,0,11
26,26,0,34,34,0,10
19,19,0,34,34,0,9
19,19,0,34,34,0,8
19,19,0,33,33,0,7
18,18,0,33,33,0,6
17,17,0,34,34,0,5
9,9,0,31,31,0,4
18,18,0,33,33,0,6
17,17,0,34,34,0,5
9,9,0,31,31,0,4
31,31,0,32,32,0,12
29,29,0,32,32,0,11
26,26,0,34,34,0,10
19,19,0,34,34,0,9
19,19,0,34,34,0,8
19,19,0,33,33,0,7
18,18,0,33,33,0,6
17,17,0,34,34,0,5
9,9,0,31,31,0,4
31,31,0,32,32,0,12
26,26,0,34,34,0,11
23,23,0,34,34,0,10
19,19,0,33,33,0,9
19,19,0,33,33,0,8
26,26,0,34,34,0,7
26,26,0,34,34,0,6
9,9,0,31,31,0,5
9,9,0,31,31,0,4
29,29,0,35,35,0,18
28,28,0,34,34,0,17
28,28,0,34,34,0,16
28,28,0,35,35,0,15
29,29,0,32,32,0,14
30,30,0,32,32,0,13
31,31,0,32,32,0,12
26,26,0,34,34,0,11
23,23,0,34,34,0,10
19,19,0,33,33,0,9
19,19,0,33,33,0,8
26,26,0,34,34,0,7
26,26,0,34,34,0,6
9,9,0,31,31,0,5
9,9,0,31,31,0,4
28,28,0,34,34,0,17
28,28,0,34,34,0,16
28,28,0,35,35,0,15
29,29,0,32,32,0,14
30,30,0,32,32,0,13
31,31,0,32,32,0,12
26,26,0,34,34,0,11
23,23,0,34,34,0,10
19,19,0,33,33,0,9
19,19,0,33,33,0,8
26,26,0,34,34,0,7
26,26,0,34,34,0,6
9,9,0,31,31,0,5
9,9,0,31,31,0,4
26,26,0,34,34,0,11
26,26,0,34,34,0,10
26,26,0,34,34,0,9
32,32,0,34,34,0,8
19,19,0,34,34,0,7
18,18,0,34,34,0,6
17,17,0,34,34,0,5
17,17,0,34,34,0,4
27,27,0,34,34,0,13
26,26,0,35,35,0,12
26,26,0,34,34,0,11
26,26,0,34,34,0,10
26,26,0,34,34,0,9
32,32,0,34,34,0,8
19,19,0,34,34,0,7
18,18,0,34,34,0,6
17,17,0,34,34,0,5
17,17,0,34,34,0,4
26,26,0,35,35,0,12
26,26,0,34,34,0,11
26,26,0,34,34,0,10
26,26,0,34,34,0,9
32,32,0,34,34,0,8
19,19,0,34,34,0,7
18,18,0,34,34,0,6
17,17,0,34,34,0,5
17,17,0,34,34,0,4
17,17,0,8,8,0,4
17,17,0,8,8,0,4
17,17,0,8,8,0,4
31,31,0,36,36,0,12
29,29,0,36,36,0,11
26,26,0,37,37,0,10
26,26,0,36,36,0,9
26,26,0,36,36,0,8
26,26,0,34,34,0,7
26,26,0,38,38,0,6
23,23,0,39,39,0,5
17,17,0,39,39,0,4
29,29,0,32,32,0,16
29,29,0,32,32,0,15
29,29,0,35,35,0,14
27,27,0,33,33,0,13
31,31,0,36,36,0,12
29,29,0,36,36,0,11
26,26,0,37,37,0,10
26,26,0,36,36,0,9
26,26,0,36,36,0,8
26,26,0,34,34,0,7
26,26,0,38,38,0,6
23,23,0,39,39,0,5
17,17,0,39,39,0,4
17,17,0,39,39,0,4
29,29,0,33,33,0,17
29,29,0,32,32,0,16
29,29,0,32,32,0,15
27,27,0,34,34,0,14
19,19,0,34,34,0,13
19,19,0,34,34,0,12
18,18,0,33,33,0,11
18,18,0,33,33,0,10
19,19,0,34,34,0,9
19,19,0,34,34,0,8
13,13,0,34,34,0,7
13,13,0,34,34,0,6
9,9,0,31,31,0,5
9,9,0,31,31,0,4
9,9,0,35,35,0,33
11,11,0,36,36,0,32
13,13,0,36,36,0,31
15,15,0,36,36,0,30
15,15,0,38,38,0,29
16,16,0,39,39,0,28
16,16,0,39,39,0,27
16,16,0,39,39,0,26
22,22,0,40,40,0,25
24,24,0,36,36,0,24
26,26,0,36,36,0,23
26,26,0,36,36,0,22
26,26,0,37,37,0,21
29,29,0,35,35,0,20
29,29,0,35,35,0,19
29,29,0,32,32,0,18
29,29,0,33,33,0,17
29,29,0,32,32,0,16
29,29,0,32,32,0,15
27,27,0,34,34,0,14
19,19,0,34,34,0,13
19,19,0,34,34,0,12
18,18,0,33,33,0,11
18,18,0,33,33,0,10
19,19,0,34,34,0,9
19,19,0,34,34,0,8
13,13,0,34,34,0,7
13,13,0,34,34,0,6
9,9,0,31,31,0,5
9,9,0,31,31,0,4
22,22,0,40,40,0,19
22,22,0,40,40,0,18
22,22,0,40,40,0,17
22,22,0,40,40,0,16
22,22,0,40,40,0,15
22,22,0,40,40,0,14
22,22,0,40,40,0,13
22,22,0,40,40,0,12
22,22,0,40,40,0,11
22,22,0,40,40,0,10
22,22,0,40,40,0,9
22,22,0,40,40,0,8
22,22,0,40,40,0,7
22,22,0,40,40,0,6
22,22,0,40,40,0,5
22,22,0,40,40,0,4
22,22,0,40,40,0,33
22,22,0,40,40,0,32
22,22,0,40,40,0,31
22,22,0,40,40,0,30
22,22,0,40,40,0,29
22,22,0,40,40,0,28
22,22,0,40,40,0,27
22,22,0,40,40,0,26
22,22,0,40,40,0,25
22,22,0,40,40,0,24
22,22,0,40,40,0,23
22,22,0,40,40,0,22
22,22,0,40,40,0,21
22,22,0,40,40,0,20
22,22,0,40,40,0,19
22,22,0,40,40,0,18
22,22,0,40,40,0,17
22,22,0,40,40,0,16
22,22,0,40,40,0,15
22,22,0,40,40,0,14
22,22,0,40,40,0,13
22,22,0,40,40,0,12
22,22,0,40,40,0,11
22,22,0,40,40,0,10
22,22,0,40,40,0,9
22,22,0,40,40,0,8
22,22,0,40,40,0,7
22,22,0,40,40,0,6
22,22,0,40,40,0,5
22,22,0,40,40,0,4
16,16,0,4,4,0,5
16,16,0,33,33,0,4
16,16,0,4,4,0,5
16,16,0,33,33,0,4
15,15,0,38,38,0,14
16,16,0,37,37,0,13
14,14,0,38,38,0,12
14,14,0,35,35,0,11
15,15,0,35,35,0,10
8,8,0,29,29,0,9
8,8,0,29,29,0,8
8,8,0,29,29,0,7
8,8,0,28,28,0,6
8,8,0,28,28,0,5
8,8,0,28,28,0,4
15,15,0,35,35,0,10
8,8,0,29,29,0,9
8,8,0,29,29,0,8
8,8,0,29,29,0,7
