Temperature 1,Salinity 1,Time 1,death
17,39,23,1
24,40,22,0
26,37,21,0
29,35,20,0
28,36,19,0
29,37,18,0
28,37,17,0
29,36,16,0
28,34,15,0
27,33,14,0
30,33,13,0
31,32,12,0
29,32,11,0
26,34,10,0
19,34,9,0
19,34,8,0
19,33,7,0
18,33,6,0
17,34,5,0
9,31,4,0
18,33,6,1
17,34,5,0
9,31,4,0
31,32,12,1
29,32,11,0
26,34,10,0
19,34,9,0
19,34,8,0
19,33,7,0
18,33,6,0
17,34,5,0
9,31,4,0
31,32,12,1
26,34,11,0
23,34,10,0
19,33,9,0
19,33,8,0
26,34,7,0
26,34,6,0
9,31,5,0
9,31,4,0
29,35,18,0
28,34,17,0
28,34,16,0
28,35,15,0
29,32,14,0
30,32,13,0
31,32,12,0
26,34,11,0
23,34,10,0
19,33,9,0
19,33,8,0
26,34,7,0
26,34,6,0
9,31,5,0
9,31,4,0
28,34,17,1
28,34,16,0
28,35,15,0
29,32,14,0
30,32,13,0
31,32,12,0
26,34,11,0
23,34,10,0
19,33,9,0
19,33,8,0
26,34,7,0
26,34,6,0
9,31,5,0
9,31,4,0
26,34,11,1
26,34,10,0
26,34,9,0
32,34,8,0
19,34,7,0
18,34,6,0
17,34,5,0
17,34,4,0
27,34,13,1
26,35,12,0
26,34,11,0
26,34,10,0
26,34,9,0
32,34,8,0
19,34,7,0
18,34,6,0
17,34,5,0
17,34,4,0
26,35,12,1
26,34,11,0
26,34,10,0
26,34,9,0
32,34,8,0
19,34,7,0
18,34,6,0
17,34,5,0
17,34,4,0
17,8,4,1
17,8,4,1
17,8,4,1
31,36,12,1
29,36,11,0
26,37,10,0
26,36,9,0
26,36,8,0
26,34,7,0
26,38,6,0
23,39,5,0
17,39,4,0
29,32,16,1
29,32,15,0
29,35,14,0
27,33,13,0
31,36,12,0
29,36,11,0
26,37,10,0
26,36,9,0
26,36,8,0
26,34,7,0
26,38,6,0
23,39,5,0
17,39,4,0
17,39,4,1
29,33,17,0
29,32,16,0
29,32,15,0
27,34,14,0
19,34,13,0
19,34,12,0
18,33,11,0
18,33,10,0
19,34,9,0
19,34,8,0
13,34,7,0
13,34,6,0
9,31,5,0
9,31,4,0
9,35,33,0
11,36,32,0
13,36,31,0
15,36,30,0
15,38,29,0
16,39,28,0
16,39,27,0
16,39,26,0
22,40,25,0
24,36,24,0
26,36,23,0
26,36,22,0
26,37,21,0
29,35,20,0
29,35,19,0
29,32,18,0
29,33,17,0
29,32,16,0
29,32,15,0
27,34,14,0
19,34,13,0
19,34,12,0
18,33,11,0
18,33,10,0
19,34,9,0
19,34,8,0
13,34,7,0
13,34,6,0
9,31,5,0
9,31,4,0
22,40,19,0
22,40,18,0
22,40,17,0
22,40,16,0
22,40,15,0
22,40,14,0
22,40,13,0
22,40,12,0
22,40,11,0
22,40,10,0
22,40,9,0
22,40,8,0
22,40,7,0
22,40,6,0
22,40,5,0
22,40,4,0
22,40,33,0
22,40,32,0
22,40,31,0
22,40,30,0
22,40,29,0
22,40,28,0
22,40,27,0
22,40,26,0
22,40,25,0
22,40,24,0
22,40,23,0
22,40,22,0
22,40,21,0
22,40,20,0
22,40,19,0
22,40,18,0
22,40,17,0
22,40,16,0
22,40,15,0
22,40,14,0
22,40,13,0
22,40,12,0
22,40,11,0
22,40,10,0
22,40,9,0
22,40,8,0
22,40,7,0
22,40,6,0
22,40,5,0
22,40,4,0
16,4,5,1
16,33,4,0
16,4,5,1
16,33,4,0
15,38,14,1
16,37,13,0
14,38,12,0
14,35,11,0
15,35,10,0
8,29,9,0
8,29,8,0
8,29,7,0
8,28,6,0
8,28,5,0
8,28,4,0
15,35,10,1
8,29,9,0
8,29,8,0
8,29,7,0
8,28,6,0
8,28,5,0
8,28,4,0
23,36,33,0
23,35,32,0
23,29,31,0
24,26,30,0
24,37,29,0
25,37,28,0
25,37,27,0
26,37,26,0
26,34,25,0
25,36,24,0
24,39,23,0
22,39,22,0
16,39,21,0
17,39,20,0
14,39,19,0
8,38,18,0
8,29,17,0
8,29,16,0
8,29,15,0
14,38,14,0
16,38,13,0
16,37,12,0
16,38,11,0
17,39,10,0
15,39,9,0
15,39,8,0
16,39,7,0
18,39,6,0
16,39,5,0
16,39,4,0
23,36,33,0
23,35,32,0
23,29,31,0
24,26,30,0
24,37,29,0
25,37,28,0
25,37,27,0
26,37,26,0
26,34,25,0
25,36,24,0
24,39,23,0
22,39,22,0
16,39,21,0
17,39,20,0
14,39,19,0
8,38,18,0
8,29,17,0
8,29,16,0
8,29,15,0
14,38,14,0
16,38,13,0
16,37,12,0
16,38,11,0
17,39,10,0
15,39,9,0
15,39,8,0
16,39,7,0
18,39,6,0
16,39,5,0
16,39,4,0
8,28,24,1
15,38,23,0
15,39,22,0
15,39,21,0
17,39,20,0
16,39,19,0
24,40,18,0
22,39,17,0
25,39,16,0
25,39,15,0
26,34,14,0
26,35,13,0
27,38,12,0
29,37,11,0
29,36,10,0
29,35,9,0
28,34,8,0
28,34,7,0
30,33,6,0
31,32,5,0
32,32,4,0
29,36,10,1
29,35,9,0
28,34,8,0
28,34,7,0
30,33,6,0
31,32,5,0
32,32,4,0
23,37,33,0
23,37,32,0
23,35,31,0
23,39,30,0
23,29,29,0
22,40,28,0
17,39,27,0
17,39,26,0
16,39,25,0
15,38,24,0
15,38,23,0
15,38,22,0
15,37,21,0
14,38,20,0
14,38,19,0
14,40,18,0
14,38,17,0
15,38,16,0
15,38,15,0
14,38,14,0
14,38,13,0
14,38,12,0
14,39,11,0
15,38,10,0
15,37,9,0
15,38,8,0
16,39,7,0
18,40,6,0
16,39,5,0
16,39,4,0
23,37,33,0
23,37,32,0
23,35,31,0
23,39,30,0
23,29,29,0
22,40,28,0
17,39,27,0
17,39,26,0
16,39,25,0
15,38,24,0
15,38,23,0
15,38,22,0
15,37,21,0
14,38,20,0
14,38,19,0
14,40,18,0
14,38,17,0
15,38,16,0
15,38,15,0
14,38,14,0
14,38,13,0
14,38,12,0
14,39,11,0
15,38,10,0
15,37,9,0
15,38,8,0
16,39,7,0
18,40,6,0
16,39,5,0
16,39,4,0
24,40,33,0
24,40,32,0
24,40,31,0
24,40,30,0
24,40,29,0
24,40,28,0
24,40,27,0
24,40,26,0
24,40,25,0
24,40,24,0
24,40,23,0
24,40,22,0
24,40,21,0
24,40,20,0
24,40,19,0
24,40,18,0
24,40,17,0
24,40,16,0
24,40,15,0
24,40,14,0
24,40,13,0
24,40,12,0
24,40,11,0
24,40,10,0
24,40,9,0
24,40,8,0
24,40,7,0
24,40,6,0
24,40,5,0
24,40,4,0
24,40,33,0
24,40,32,0
24,40,31,0
24,40,30,0
24,40,29,0
24,40,28,0
24,40,27,0
24,40,26,0
24,40,25,0
24,40,24,0
24,40,23,0
24,40,22,0
24,40,21,0
24,40,20,0
24,40,19,0
24,40,18,0
24,40,17,0
24,40,16,0
24,40,15,0
24,40,14,0
24,40,13,0
24,40,12,0
24,40,11,0
24,40,10,0
24,40,9,0
24,40,8,0
24,40,7,0
24,40,6,0
24,40,5,0
24,40,4,0
15,35,30,0
15,35,29,0
16,36,28,0
21,36,27,0
27,35,26,0
29,35,25,0
29,36,24,0
