,14
mean_fit_time,0.00939927101135254
std_fit_time,0.0004906817610520682
mean_score_time,0.02960071563720703
std_score_time,0.01321600365352286
param_class_weight,
param_max_depth,3
param_min_samples_leaf,2
param_min_samples_split,2
param_random_state,0
params,"{'class_weight': None, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 0}"
split0_test_mcc,0.7340646971002934
split1_test_mcc,0.6773786076528916
split2_test_mcc,0.6278669185981051
split3_test_mcc,0.4429030024106458
split4_test_mcc,0.589611228406161
mean_test_mcc,0.6143648908336194
std_test_mcc,0.09848147020283204
rank_test_mcc,1
split0_train_mcc,0.6392462923973489
split1_train_mcc,0.6584181904173706
split2_train_mcc,0.6679084334186761
split3_train_mcc,0.7026062831514298
split4_train_mcc,0.6318517905529382
mean_train_mcc,0.6600061979875527
std_train_mcc,0.024913364633986693
split0_test_f1,0.7058823529411765
split1_test_f1,0.6666666666666666
split2_test_f1,0.5714285714285714
split3_test_f1,0.3333333333333333
split4_test_f1,0.5882352941176471
mean_test_f1,0.573109243697479
std_test_f1,0.1296964141234584
rank_test_f1,1
split0_train_f1,0.5862068965517241
split1_train_f1,0.6229508196721312
split2_train_f1,0.6229508196721312
split3_train_f1,0.6666666666666666
split4_train_f1,0.5901639344262295
mean_train_f1,0.6177878273977765
std_train_f1,0.028992718267629607
split0_test_auprc,0.5573877196788891
split1_test_auprc,0.5574162679425837
split2_test_auprc,0.41552643839914805
split3_test_auprc,0.22241354570239633
split4_test_auprc,0.45785822769116324
mean_test_auprc,0.4421204398828361
std_test_auprc,0.12313059082940661
rank_test_auprc,7
split0_train_auprc,0.5092548738294534
split1_train_auprc,0.5112800447969607
split2_train_auprc,0.5317013347636368
split3_train_auprc,0.565022634242297
split4_train_auprc,0.5097643001578835
mean_train_auprc,0.5254046375580462
std_train_auprc,0.02151359198329749
