Season,Name,Replicate,death,min,max,mean,log_multiply
winter,PISCES,a,True,0.9618,0.9884,0.9781,-0.6641
winter,PISCES,b,True,0.9618,0.9924,0.9786,-0.6493
winter,PISCES,c,True,0.9618,0.9924,0.9781,-0.6642
winter,ELPIDA,a,True,0.9618,0.9925,0.9783,-0.6604
winter,ELPIDA,b,False,0.9618,0.9925,0.978,-0.6684
winter,ELPIDA,c,True,0.9618,0.9925,0.9781,-0.6664
winter,BRADY,a,True,0.9737,0.9903,0.9809,-0.5799
winter,BRADY,b,True,0.9737,0.9903,0.9807,-0.5854
winter,BRADY,c,True,0.9737,0.9903,0.9807,-0.5854
winter,GLOBE,a,True,0.1345,0.9905,0.8779,-7.0966
winter,GLOBE,b,True,0.1345,0.9905,0.8779,-7.0966
winter,GLOBE,c,True,0.1345,0.9905,0.8779,-7.0966
winter,VENUS,a,True,0.1939,0.9938,0.8754,-7.0813
winter,VENUS,b,True,0.1939,0.9938,0.8751,-7.0888
winter,VENUS,c,True,0.1939,0.99,0.876,-7.064
winter,GLORY,a,False,0.9618,0.9945,0.9799,-0.6084
winter,GLORY,b,False,0.9618,0.9945,0.9798,-0.6121
winter,CONTROL,a,False,0.9903,0.9908,0.9903,-0.2921
winter,CONTROL,b,False,0.9903,0.9908,0.9903,-0.2921
winter,ORPHEUS,a,True,0.1363,0.9861,0.6821,-17.4777
winter,ORPHEUS,b,True,0.1363,0.9861,0.6821,-17.4777
winter,TINA,a,True,0.9618,0.9945,0.9839,-0.4889
winter,TINA,b,True,0.9618,0.9945,0.9846,-0.4665
winter,VENICE,a,False,0.9483,0.9925,0.9847,-0.4623
winter,VENICE,b,False,0.9483,0.9925,0.9847,-0.4623
winter,MAYA,a,True,0.5764,0.9925,0.9223,-2.8571
winter,MAYA,b,True,0.5764,0.9925,0.9225,-2.8528
winter,ELOANE,a,False,0.9721,0.9945,0.9881,-0.3596
winter,ELOANE,b,False,0.9721,0.9945,0.9881,-0.3596
winter,CONTROL,a,False,0.9958,0.9963,0.9958,-0.1254
winter,CONTROL,b,False,0.9958,0.9963,0.9958,-0.1254
winter,TOKYO,a,False,0.9743,0.9945,0.9843,-0.4746
winter,TOKYO,b,False,0.9723,0.9945,0.9839,-0.4882
winter,TOKYO,c,False,0.9723,0.9945,0.9832,-0.5104
winter,MOSCOW,a,False,0.9737,0.9925,0.9825,-0.531
winter,MOSCOW,b,True,0.9737,0.9924,0.9823,-0.5374
winter,MOSCOW,c,False,0.9737,0.9925,0.9825,-0.531
winter,NEVADA,a,False,0.9447,0.9925,0.9788,-0.6437
winter,NEVADA,b,True,0.9447,0.9925,0.979,-0.6401
winter,NEVADA,c,True,0.9447,0.9945,0.9803,-0.5979
winter,CONTROL,a,False,0.9958,0.9963,0.9958,-0.1254
winter,CONTROL,b,False,0.9958,0.9963,0.9958,-0.1254
winter,CONTROL,c,False,0.9958,0.9963,0.9958,-0.1254
winter,CONTROL,d,False,0.9958,0.9963,0.9958,-0.1254
winter,CONTROL,e,False,0.9958,0.9963,0.9958,-0.1254
winter,CONTROL,f,False,0.9958,0.9963,0.9958,-0.1254
summer,ORPHEUS,a,True,0.1363,0.9846,0.6962,-17.3392
