Season,Name,death_prediction_probability,death_prediction,NIS introduction risk
winter,CONTROL,0.0,False,HIGH
summer,CONTROL,0.010476064438705761,False,HIGH
summer,TOKYO,0.11658069618352764,False,HIGH
winter,VENUS,0.1462761272940822,False,HIGH
summer,PISCES,0.14666666666666667,False,HIGH
winter,ELOANE,0.14666666666666667,False,HIGH
summer,MOSCOW,0.14666666666666667,False,HIGH
summer,ELPIDA,0.14666666666666667,False,HIGH
winter,TOKYO,0.14666666666666667,False,HIGH
winter,VENICE,0.14666666666666667,False,HIGH
summer,BRADY,0.1865041612842838,False,HIGH
winter,MOSCOW,0.23043560170975538,False,HIGH
summer,CHARLESTON,0.23238232634666312,False,HIGH
summer,JADE,0.4060460180762064,False,HIGH
summer,ELOANE,0.4133333333333333,False,HIGH
summer,SINGAPURA,0.4609375409861458,False,HIGH
winter,BRADY,0.5018956705663031,True,LOW
winter,TINA,0.5066666666666666,True,LOW
winter,GLORY,0.5086906517431412,True,LOW
winter,PISCES,0.5095862363111211,True,LOW
winter,ELEONORA,0.5188862807718568,True,LOW
winter,SINGAPURA,0.5333333333333333,True,LOW
winter,ELPIDA,0.5728608195475636,True,LOW
summer,GLORY,0.6107630519613362,True,LOW
winter,NEVADA,0.6491965332252797,True,LOW
winter,MAYA,0.7020946183777488,True,LOW
summer,TINA,0.7552692392274855,True,LOW
summer,ELEONORA,0.8427707486188215,True,LOW
summer,NEVADA,0.8731719350117985,True,LOW
summer,VENICE,0.8960434792369024,True,LOW
summer,MAYA,0.991128567342602,True,LOW
summer,VENUS,0.9965748518405123,True,LOW
winter,GLOBE,1.0,True,LOW
winter,FORSTER,1.0,True,LOW
summer,ORPHEUS,1.0,True,LOW
winter,ANNA,1.0,True,LOW
summer,FORSTER,1.0,True,LOW
summer,GLOBE,1.0,True,LOW
summer,INGY,1.0,True,LOW
summer,LEANNE,1.0,True,LOW
summer,ANNA,1.0,True,LOW
winter,INGY,1.0,True,LOW
winter,ORPHEUS,1.0,True,LOW
