Season,Name,death_prediction_probability,death_prediction,NIS introduction risk
summer,CONTROL,0.0,False,HIGH
winter,CONTROL,0.0,False,HIGH
winter,VENICE,0.0,False,HIGH
summer,TOKYO,0.06134198935338814,False,HIGH
winter,TOKYO,0.20519480519480524,False,HIGH
winter,VENUS,0.20519480519480524,False,HIGH
winter,PISCES,0.38844582146214696,False,HIGH
summer,ELPIDA,0.4111777111777111,False,HIGH
summer,PISCES,0.4111777111777111,False,HIGH
winter,BRADY,0.4111777111777111,False,HIGH
summer,MOSCOW,0.4111777111777111,False,HIGH
winter,MOSCOW,0.4111777111777111,False,HIGH
winter,ELPIDA,0.4111777111777111,False,HIGH
winter,ELOANE,0.4111777111777112,False,HIGH
winter,TINA,0.4111777111777112,False,HIGH
winter,GLORY,0.4111777111777112,False,HIGH
summer,ELOANE,0.4264703603841875,False,HIGH
winter,SINGAPURA,0.4264703603841875,False,HIGH
winter,ELEONORA,0.4264703603841875,False,HIGH
summer,CHARLESTON,0.4264703603841875,False,HIGH
summer,JADE,0.4264703603841875,False,HIGH
summer,BRADY,0.4264703603841875,False,HIGH
summer,SINGAPURA,0.4716228422933333,False,HIGH
winter,NEVADA,0.6059829059829059,True,LOW
summer,TINA,0.6084390395520151,True,LOW
summer,NEVADA,0.6168476181173189,True,LOW
summer,GLORY,0.640991659823894,True,LOW
winter,MAYA,0.6588516988381958,True,LOW
summer,ELEONORA,0.7213005202549443,True,LOW
summer,VENICE,0.7443942972957419,True,LOW
summer,VENUS,0.8921852530743747,True,LOW
summer,MAYA,0.9631519219368115,True,LOW
winter,GLOBE,1.0,True,LOW
winter,FORSTER,1.0,True,LOW
summer,ORPHEUS,1.0,True,LOW
winter,ANNA,1.0,True,LOW
summer,FORSTER,1.0,True,LOW
summer,GLOBE,1.0,True,LOW
summer,INGY,1.0,True,LOW
summer,LEANNE,1.0,True,LOW
summer,ANNA,1.0,True,LOW
winter,INGY,1.0,True,LOW
winter,ORPHEUS,1.0,True,LOW
