Season,Name,death_prediction_probability,death_prediction,NIS introduction risk
winter,CONTROL,0.25943009906402564,False,HIGH
summer,CONTROL,0.2625733357517677,False,HIGH
winter,VENICE,0.269382935527342,False,HIGH
summer,TOKYO,0.2747524111799824,False,HIGH
winter,TOKYO,0.28173277711942807,False,HIGH
winter,VENUS,0.28173277711942807,False,HIGH
winter,PISCES,0.301499311769336,False,HIGH
summer,ELPIDA,0.30946918974492366,False,HIGH
winter,ELOANE,0.30946918974492366,False,HIGH
winter,GLORY,0.30946918974492366,False,HIGH
winter,MOSCOW,0.30946918974492366,False,HIGH
winter,TINA,0.30946918974492366,False,HIGH
summer,PISCES,0.30946918974492366,False,HIGH
winter,BRADY,0.30946918974492366,False,HIGH
summer,MOSCOW,0.30946918974492366,False,HIGH
winter,ELPIDA,0.30946918974492366,False,HIGH
summer,ELOANE,0.3261935602701982,False,HIGH
winter,SINGAPURA,0.3261935602701982,False,HIGH
winter,ELEONORA,0.3261935602701982,False,HIGH
summer,CHARLESTON,0.3261935602701982,False,HIGH
summer,JADE,0.3261935602701982,False,HIGH
summer,BRADY,0.3261935602701982,False,HIGH
summer,SINGAPURA,0.33293845567537783,False,HIGH
winter,NEVADA,0.39320755328970153,False,HIGH
summer,NEVADA,0.40351706671540155,False,HIGH
summer,TINA,0.4060744983163252,False,HIGH
summer,GLORY,0.42559140428543624,False,HIGH
winter,MAYA,0.43638845227108536,False,HIGH
summer,ELEONORA,0.4677557921098747,False,HIGH
summer,VENICE,0.49139053033737473,False,HIGH
summer,VENUS,0.6453276405506126,True,LOW
summer,MAYA,0.8429838028401503,True,LOW
winter,GLOBE,0.9485702730745352,True,LOW
winter,FORSTER,0.9485702730745352,True,LOW
summer,ORPHEUS,0.9485702730745352,True,LOW
winter,ANNA,0.9485702730745352,True,LOW
summer,FORSTER,0.9485702730745352,True,LOW
summer,GLOBE,0.9485702730745352,True,LOW
summer,INGY,0.9485702730745352,True,LOW
summer,LEANNE,0.9485702730745352,True,LOW
summer,ANNA,0.9485702730745352,True,LOW
winter,INGY,0.9485702730745352,True,LOW
winter,ORPHEUS,0.9485702730745352,True,LOW
