Season,Name,death_prediction_probability,death_prediction,NIS introduction risk
summer,MAYA,0.469545842801798,False,HIGH
summer,ORPHEUS,0.469545842801798,False,HIGH
winter,ORPHEUS,0.469545842801798,False,HIGH
winter,MAYA,0.469545842801798,False,HIGH
winter,VENUS,0.469545842801798,False,HIGH
winter,INGY,0.4695463630694032,False,HIGH
winter,CONTROL,0.4695463630694032,False,HIGH
summer,INGY,0.4695463630694032,False,HIGH
summer,CONTROL,0.469548488933211,False,HIGH
winter,FORSTER,0.4695485676462216,False,HIGH
summer,FORSTER,0.4695485676462216,False,HIGH
winter,VENICE,0.4695485676462216,False,HIGH
winter,TOKYO,0.4695492326716027,False,HIGH
summer,VENUS,0.4695492326716027,False,HIGH
summer,TOKYO,0.4695515479167038,False,HIGH
winter,ANNA,0.4695527055392543,False,HIGH
summer,JADE,0.4695527055392543,False,HIGH
winter,NEVADA,0.4695527055392543,False,HIGH
winter,GLOBE,0.4695527055392543,False,HIGH
winter,ELOANE,0.4695527055392543,False,HIGH
summer,CHARLESTON,0.4695527055392543,False,HIGH
summer,LEANNE,0.4695527055392543,False,HIGH
summer,GLORY,0.46955366207480415,False,HIGH
winter,ELEONORA,0.4695546186103539,False,HIGH
summer,ELPIDA,0.4695547793328599,False,HIGH
summer,ANNA,0.46955557514590374,False,HIGH
summer,SINGAPURA,0.46955557514590374,False,HIGH
winter,BRADY,0.46955557514590374,False,HIGH
summer,PISCES,0.46955557514590374,False,HIGH
summer,BRADY,0.46955557514590374,False,HIGH
summer,GLOBE,0.46955620206874626,False,HIGH
summer,NEVADA,0.46955801863629615,False,HIGH
winter,SINGAPURA,0.46955892692007106,False,HIGH
winter,GLORY,0.46955892692007106,False,HIGH
summer,TINA,0.46955892692007106,False,HIGH
summer,VENICE,0.46955892692007106,False,HIGH
summer,ELEONORA,0.46955892692007106,False,HIGH
summer,ELOANE,0.46955892692007106,False,HIGH
summer,MOSCOW,0.46955892692007106,False,HIGH
winter,MOSCOW,0.46955892692007106,False,HIGH
winter,TINA,0.46956331587615374,False,HIGH
winter,ELPIDA,0.46956385725969824,False,HIGH
winter,PISCES,0.46956385725969824,False,HIGH
