Season,Name,Replicate,death,min,max,mean,log_multiply,death_prediction,death_prediction_probability
winter,CONTROL,b,False,0.9958,0.9963,0.9958,-0.1254,False,0.1785
winter,CONTROL,a,False,0.9958,0.9963,0.9958,-0.1254,False,0.1785
winter,CONTROL,a,False,0.9958,0.9963,0.9958,-0.1254,False,0.1785
winter,CONTROL,b,False,0.9958,0.9963,0.9958,-0.1254,False,0.1785
winter,CONTROL,e,False,0.9958,0.9963,0.9958,-0.1254,False,0.1785
winter,CONTROL,f,False,0.9958,0.9963,0.9958,-0.1254,False,0.1785
winter,CONTROL,c,False,0.9958,0.9963,0.9958,-0.1254,False,0.1785
winter,CONTROL,d,False,0.9958,0.9963,0.9958,-0.1254,False,0.1785
summer,CONTROL,a,False,0.9958,0.9963,0.9958,-0.1254,False,0.1785
summer,CONTROL,b,False,0.9958,0.9963,0.9958,-0.1254,False,0.1785
summer,CONTROL,d,False,0.9958,0.9963,0.9958,-0.1254,False,0.1785
summer,CONTROL,b,False,0.9958,0.9963,0.9958,-0.1254,False,0.1785
summer,CONTROL,e,False,0.9958,0.9963,0.9958,-0.1254,False,0.1785
summer,CONTROL,a,False,0.9958,0.9963,0.9958,-0.1254,False,0.1785
summer,CONTROL,d,False,0.9958,0.9963,0.9958,-0.1254,False,0.1785
summer,CONTROL,c,False,0.9958,0.9963,0.9958,-0.1254,False,0.1785
summer,CONTROL,e,False,0.9958,0.9963,0.9958,-0.1254,False,0.1785
summer,CONTROL,c,False,0.9958,0.9963,0.9958,-0.1254,False,0.1785
winter,CONTROL,b,False,0.9903,0.9908,0.9903,-0.2921,False,0.228
winter,CONTROL,a,False,0.9903,0.9908,0.9903,-0.2921,False,0.228
summer,JADE,b,False,0.9735,0.9958,0.9893,-0.3236,False,0.2383
summer,JADE,c,True,0.9735,0.9958,0.9892,-0.3274,False,0.2396
summer,JADE,a,True,0.9735,0.9958,0.9888,-0.3396,False,0.2437
winter,ELOANE,a,False,0.9721,0.9945,0.9881,-0.3596,False,0.2505
winter,ELOANE,b,False,0.9721,0.9945,0.9881,-0.3596,False,0.2505
summer,CONTROL,c,False,0.9785,0.9932,0.9874,-0.3793,False,0.2574
summer,CONTROL,b,False,0.9785,0.9932,0.9874,-0.3793,False,0.2574
summer,CONTROL,a,False,0.9785,0.9932,0.9874,-0.3793,False,0.2574
summer,TOKYO,b,False,0.976,0.9943,0.9853,-0.4442,False,0.2809
winter,ELEONORA,c,True,0.9712,0.9938,0.9851,-0.4506,False,0.2832
summer,ELOANE,a,False,0.958,0.9938,0.985,-0.4563,False,0.2854
summer,ELOANE,c,False,0.958,0.9938,0.985,-0.4563,False,0.2854
summer,ELOANE,b,True,0.958,0.9938,0.985,-0.4563,False,0.2854
winter,VENICE,b,False,0.9483,0.9925,0.9847,-0.4623,False,0.2876
winter,VENICE,a,False,0.9483,0.9925,0.9847,-0.4623,False,0.2876
winter,TINA,b,True,0.9618,0.9945,0.9846,-0.4665,False,0.2892
summer,TOKYO,a,False,0.976,0.9943,0.9845,-0.4692,False,0.2902
summer,TOKYO,c,False,0.976,0.9943,0.9845,-0.4692,False,0.2902
winter,ELEONORA,b,False,0.9483,0.9938,0.9844,-0.4729,False,0.2916
winter,ELEONORA,a,False,0.9483,0.9938,0.9844,-0.4729,False,0.2916
winter,TOKYO,a,False,0.9743,0.9945,0.9843,-0.4746,False,0.2923
winter,TOKYO,b,False,0.9723,0.9945,0.9839,-0.4882,False,0.2975
winter,TINA,a,True,0.9618,0.9945,0.9839,-0.4889,False,0.2977
winter,TOKYO,c,False,0.9723,0.9945,0.9832,-0.5104,False,0.3061
winter,MOSCOW,c,False,0.9737,0.9925,0.9825,-0.531,False,0.3142
winter,MOSCOW,a,False,0.9737,0.9925,0.9825,-0.531,False,0.3142
winter,MOSCOW,b,True,0.9737,0.9924,0.9823,-0.5374,False,0.3167
summer,MOSCOW,a,False,0.9742,0.99,0.9822,-0.5378,False,0.3169
summer,MOSCOW,b,False,0.9742,0.99,0.9822,-0.5378,False,0.3169
summer,MOSCOW,c,False,0.9742,0.99,0.9822,-0.5378,False,0.3169
summer,ELPIDA,b,False,0.9737,0.9909,0.9821,-0.5419,False,0.3185
summer,ELPIDA,c,False,0.9737,0.9909,0.9818,-0.5508,False,0.3221
summer,VENICE,a,True,0.9632,0.9929,0.9818,-0.5523,False,0.3227
summer,PISCES,a,False,0.9737,0.9942,0.9817,-0.5547,False,0.3236
summer,ELPIDA,a,False,0.9737,0.9909,0.9816,-0.5575,False,0.3248
summer,PISCES,b,False,0.9618,0.9942,0.9815,-0.5596,False,0.3256
summer,PISCES,c,False,0.9618,0.9942,0.9815,-0.5596,False,0.3256
winter,SINGAPURA,c,False,0.9631,0.9925,0.9812,-0.5692,False,0.3295
winter,SINGAPURA,a,False,0.9631,0.9925,0.9812,-0.5692,False,0.3295
winter,SINGAPURA,b,False,0.9631,0.9925,0.9812,-0.5692,False,0.3295
winter,BRADY,a,True,0.9737,0.9903,0.9809,-0.5799,False,0.3339
winter,BRADY,c,True,0.9737,0.9903,0.9807,-0.5854,False,0.3361
winter,BRADY,b,True,0.9737,0.9903,0.9807,-0.5854,False,0.3361
summer,CHARLESTON,a,True,0.9631,0.9925,0.9804,-0.5954,False,0.3402
summer,CHARLESTON,b,False,0.9631,0.9925,0.9804,-0.5954,False,0.3402
winter,NEVADA,c,True,0.9447,0.9945,0.9803,-0.5979,False,0.3413
summer,VENICE,c,True,0.9476,0.9929,0.9802,-0.6011,False,0.3426
summer,VENICE,b,True,0.9476,0.9929,0.9802,-0.6011,False,0.3426
summer,GLORY,b,False,0.9737,0.9909,0.9801,-0.6047,False,0.3441
summer,GLORY,a,False,0.9737,0.9909,0.98,-0.6067,False,0.3449
summer,GLORY,c,False,0.9737,0.9909,0.98,-0.6067,False,0.3449
winter,GLORY,a,False,0.9618,0.9945,0.9799,-0.6084,False,0.3456
winter,GLORY,b,False,0.9618,0.9945,0.9798,-0.6121,False,0.3472
winter,NEVADA,b,True,0.9447,0.9925,0.979,-0.6401,False,0.3589
winter,NEVADA,a,False,0.9447,0.9925,0.9788,-0.6437,False,0.3604
summer,BRADY,c,False,0.9737,0.9862,0.9787,-0.6471,False,0.3619
summer,BRADY,a,False,0.9737,0.9862,0.9787,-0.6471,False,0.3619
summer,BRADY,b,False,0.9737,0.9862,0.9787,-0.6471,False,0.3619
winter,PISCES,b,True,0.9618,0.9924,0.9786,-0.6493,False,0.3628
winter,ELPIDA,a,True,0.9618,0.9925,0.9783,-0.6604,False,0.3675
winter,PISCES,a,True,0.9618,0.9884,0.9781,-0.6641,False,0.3691
winter,PISCES,c,True,0.9618,0.9924,0.9781,-0.6642,False,0.3692
winter,ELPIDA,c,True,0.9618,0.9925,0.9781,-0.6664,False,0.3701
winter,ELPIDA,b,False,0.9618,0.9925,0.978,-0.6684,False,0.371
summer,ELEONORA,a,True,0.9384,0.99,0.9776,-0.6838,False,0.3776
summer,CHARLESTON,c,False,0.8834,0.9925,0.9773,-0.6956,False,0.3827
summer,TINA,c,False,0.8149,0.9958,0.976,-0.7478,False,0.4056
summer,TINA,b,False,0.8149,0.9958,0.976,-0.7478,False,0.4056
summer,TINA,a,True,0.8149,0.9958,0.9759,-0.7496,False,0.4064
summer,NEVADA,a,True,0.8936,0.99,0.9731,-0.8258,False,0.4406
summer,ELEONORA,c,True,0.8936,0.99,0.973,-0.8279,False,0.4416
summer,NEVADA,b,True,0.8936,0.9888,0.9724,-0.8455,False,0.4496
summer,ELEONORA,b,True,0.8936,0.9886,0.972,-0.8603,False,0.4563
summer,NEVADA,c,True,0.8825,0.99,0.9674,-1.0081,True,0.5241
summer,SINGAPURA,b,False,0.7886,0.9943,0.9661,-1.0698,True,0.5523
summer,SINGAPURA,a,False,0.7886,0.9943,0.9661,-1.0698,True,0.5523
summer,SINGAPURA,c,False,0.7886,0.9943,0.9615,-1.2128,True,0.616
winter,MAYA,b,True,0.5764,0.9925,0.9225,-2.8528,True,0.9703
winter,MAYA,a,True,0.5764,0.9925,0.9223,-2.8571,True,0.9706
summer,MAYA,a,True,0.5764,0.9882,0.9217,-2.8764,True,0.9716
summer,MAYA,b,True,0.5706,0.9882,0.9197,-2.9476,True,0.975
summer,MAYA,c,True,0.5706,0.9882,0.9197,-2.9476,True,0.975
winter,INGY,b,True,0.1345,0.9945,0.9037,-5.8497,True,0.9999
winter,INGY,c,True,0.1345,0.9945,0.9037,-5.8497,True,0.9999
winter,INGY,a,True,0.1345,0.9945,0.9037,-5.8497,True,0.9999
summer,INGY,c,True,0.0429,0.9958,0.8964,-7.8505,True,1.0
summer,INGY,b,True,0.0429,0.9958,0.8964,-7.8505,True,1.0
summer,ORPHEUS,c,True,0.1363,0.9846,0.6962,-17.3392,True,1.0
summer,GLOBE,b,True,0.0429,0.992,0.8459,-10.2409,True,1.0
summer,GLOBE,a,True,0.0429,0.992,0.8459,-10.2409,True,1.0
summer,GLOBE,c,True,0.0429,0.992,0.8459,-10.2409,True,1.0
summer,INGY,a,True,0.0429,0.9958,0.8964,-7.8505,True,1.0
winter,VENUS,c,True,0.1939,0.99,0.876,-7.064,True,1.0
summer,FORSTER,b,True,0.0963,0.9958,0.848,-9.7786,True,1.0
summer,ANNA,c,True,0.1908,0.9929,0.8689,-7.3411,True,1.0
summer,ANNA,b,True,0.1908,0.9929,0.8689,-7.3411,True,1.0
summer,FORSTER,c,True,0.0963,0.9958,0.848,-9.7786,True,1.0
summer,VENUS,a,True,0.0667,0.9908,0.8949,-6.9433,True,1.0
summer,VENUS,b,True,0.0667,0.9908,0.8949,-6.9433,True,1.0
summer,ORPHEUS,b,True,0.1363,0.9846,0.6962,-17.3392,True,1.0
summer,ORPHEUS,a,True,0.1363,0.9846,0.6962,-17.3392,True,1.0
winter,VENUS,b,True,0.1939,0.9938,0.8751,-7.0888,True,1.0
winter,VENUS,a,True,0.1939,0.9938,0.8754,-7.0813,True,1.0
winter,GLOBE,c,True,0.1345,0.9905,0.8779,-7.0966,True,1.0
winter,GLOBE,a,True,0.1345,0.9905,0.8779,-7.0966,True,1.0
winter,GLOBE,b,True,0.1345,0.9905,0.8779,-7.0966,True,1.0
winter,ORPHEUS,b,True,0.1363,0.9861,0.6821,-17.4777,True,1.0
winter,ORPHEUS,a,True,0.1363,0.9861,0.6821,-17.4777,True,1.0
winter,ANNA,c,True,0.195,0.9945,0.8702,-7.2671,True,1.0
winter,FORSTER,a,True,0.0963,0.9945,0.8442,-10.5058,True,1.0
winter,ANNA,b,True,0.195,0.9945,0.8702,-7.2671,True,1.0
winter,ANNA,a,True,0.195,0.9945,0.8702,-7.2671,True,1.0
winter,FORSTER,b,True,0.0963,0.9945,0.8442,-10.5058,True,1.0
winter,FORSTER,c,True,0.0963,0.9945,0.8442,-10.5058,True,1.0
summer,FORSTER,a,True,0.0963,0.9958,0.848,-9.7786,True,1.0
summer,VENUS,c,True,0.0667,0.9908,0.8949,-6.9433,True,1.0
summer,ANNA,a,True,0.1908,0.9929,0.8689,-7.3411,True,1.0
summer,LEANNE,a,True,0.0963,0.9925,0.8941,-7.4883,True,1.0
summer,LEANNE,b,True,0.0963,0.9925,0.8941,-7.4883,True,1.0
summer,LEANNE,c,True,0.0963,0.9925,0.8941,-7.4883,True,1.0
