Season,Name,death_prediction_probability,death_prediction,NIS introduction binary risk,NIS introduction 3-class risk
winter,CONTROL,0.1884,False,HIGH,HIGH
summer,CONTROL,0.1967,False,HIGH,HIGH
summer,JADE,0.2405,False,HIGH,HIGH
winter,ELOANE,0.2505,False,HIGH,HIGH
summer,ELOANE,0.2854,False,HIGH,HIGH
summer,TOKYO,0.2871,False,HIGH,HIGH
winter,VENICE,0.2876,False,HIGH,HIGH
winter,ELEONORA,0.2888,False,HIGH,HIGH
winter,TINA,0.2934,False,HIGH,HIGH
winter,TOKYO,0.2986,False,HIGH,HIGH
winter,MOSCOW,0.315,False,HIGH,HIGH
summer,MOSCOW,0.3169,False,HIGH,HIGH
summer,ELPIDA,0.3218,False,HIGH,HIGH
summer,PISCES,0.3249,False,HIGH,HIGH
winter,SINGAPURA,0.3295,False,HIGH,HIGH
winter,BRADY,0.3354,False,HIGH,INTERMEDIATE
summer,VENICE,0.336,False,HIGH,INTERMEDIATE
summer,GLORY,0.3446,False,HIGH,INTERMEDIATE
winter,GLORY,0.3464,False,HIGH,INTERMEDIATE
winter,NEVADA,0.3535,False,HIGH,INTERMEDIATE
summer,CHARLESTON,0.3544,False,HIGH,INTERMEDIATE
summer,BRADY,0.3619,False,HIGH,INTERMEDIATE
winter,PISCES,0.367,False,HIGH,INTERMEDIATE
winter,ELPIDA,0.3695,False,HIGH,INTERMEDIATE
summer,TINA,0.4059,False,HIGH,INTERMEDIATE
summer,ELEONORA,0.4252,False,HIGH,INTERMEDIATE
summer,NEVADA,0.4714,False,HIGH,INTERMEDIATE
summer,SINGAPURA,0.5735,True,LOW,INTERMEDIATE
winter,MAYA,0.9704,True,LOW,LOW
summer,MAYA,0.9739,True,LOW,LOW
winter,INGY,0.9999,True,LOW,LOW
summer,ANNA,1.0,True,LOW,LOW
winter,GLOBE,1.0,True,LOW,LOW
winter,FORSTER,1.0,True,LOW,LOW
summer,VENUS,1.0,True,LOW,LOW
winter,ANNA,1.0,True,LOW,LOW
summer,ORPHEUS,1.0,True,LOW,LOW
summer,GLOBE,1.0,True,LOW,LOW
summer,INGY,1.0,True,LOW,LOW
summer,LEANNE,1.0,True,LOW,LOW
summer,FORSTER,1.0,True,LOW,LOW
winter,ORPHEUS,1.0,True,LOW,LOW
winter,VENUS,1.0,True,LOW,LOW
