Season,Name,Replicate,death,min,max,mean,multiply
winter,PISCES,a,True,0.5336052,0.94355285,0.7747983,-7.987529233055659
winter,PISCES,b,True,0.5336052,0.9432063,0.7747612,-7.990478317753272
winter,PISCES,c,True,0.5336052,0.9432063,0.7750391,-7.979233355588498
winter,ELPIDA,a,True,0.5557834,0.93993646,0.7934615,-7.154170169472737
winter,ELPIDA,b,False,0.5557834,0.93993646,0.79349554,-7.152766144171185
winter,ELPIDA,c,True,0.5557834,0.93993646,0.79355866,-7.150417959910307
winter,BRADY,a,True,0.6920918,0.8974245,0.7811133,-7.464642094072663
winter,BRADY,b,True,0.6920918,0.8974245,0.78253925,-7.411566120859928
winter,BRADY,c,True,0.6920918,0.8974245,0.78253925,-7.411566120859928
winter,INGY,a,True,0.361098,0.9510143,0.82661515,-6.3234133733262805
winter,INGY,b,True,0.361098,0.9510143,0.82661515,-6.3234133733262805
winter,INGY,c,True,0.361098,0.9510143,0.82661515,-6.3234133733262805
winter,GLOBE,a,True,0.361098,0.95627546,0.7511734,-9.614678606698945
winter,GLOBE,b,True,0.361098,0.95627546,0.7511734,-9.614678606698945
winter,GLOBE,c,True,0.361098,0.95627546,0.7511734,-9.614678606698945
winter,GLORY,a,False,0.5557834,0.9407152,0.773388,-7.976672216033807
winter,GLORY,b,False,0.5557834,0.9402962,0.7749698,-7.910983391854403
winter,CONTROL,a,False,0.95046574,0.95808744,0.9561638,-1.344840511051655
winter,CONTROL,b,False,0.95046574,0.95808744,0.9561638,-1.344840511051655
winter,ORPHEUS,a,True,0.35457647,0.77790344,0.53020436,-20.044808641042486
winter,ORPHEUS,b,True,0.35457647,0.77790344,0.53020436,-20.044808641042486
winter,VENICE,a,False,0.37827998,0.94362485,0.80374104,-7.574979916865501
winter,VENICE,b,False,0.37827998,0.94362485,0.80374104,-7.574979916865501
winter,MAYA,a,True,0.3564276,0.9532768,0.70754325,-12.580279259797429
winter,MAYA,b,True,0.3564276,0.9445359,0.70604444,-12.63324468341079
winter,ELOANE,a,False,0.6100869,0.94976336,0.89673597,-3.364911969615513
winter,ELOANE,b,False,0.6100869,0.94976336,0.89673597,-3.364911969615513
winter,CONTROL,a,False,0.94754666,0.95841426,0.9559448,-1.3517877200406603
winter,CONTROL,b,False,0.94754666,0.95841426,0.9559448,-1.3517877200406603
winter,SINGAPURA,a,False,0.58649445,0.9473888,0.81400603,-6.535216874577239
winter,SINGAPURA,b,False,0.58649445,0.9473888,0.81400603,-6.535216874577239
winter,SINGAPURA,c,False,0.58649445,0.9473888,0.81400603,-6.535216874577239
winter,ANNA,a,True,0.3512352,0.94812495,0.73803097,-10.529443914578932
winter,ANNA,b,True,0.3512352,0.94812495,0.73803097,-10.529443914578932
winter,ANNA,c,True,0.3512352,0.94812495,0.73803097,-10.529443914578932
winter,MOSCOW,a,False,0.7054001,0.94884515,0.8235412,-5.971140476344922
winter,MOSCOW,b,True,0.7054001,0.95113385,0.82084084,-6.060832651860374
winter,MOSCOW,c,False,0.7054001,0.94884515,0.8235412,-5.971140476344922
winter,FORSTER,a,True,0.33870167,0.94362485,0.6326062,-15.600002388779503
winter,FORSTER,b,True,0.33870167,0.94362485,0.6326062,-15.600002388779503
winter,FORSTER,c,True,0.33870167,0.94362485,0.6326062,-15.600002388779503
winter,NEVADA,a,False,0.46266818,0.95721847,0.8237662,-6.235871038891055
winter,NEVADA,b,True,0.46266818,0.95721847,0.82230186,-6.292570551390749
winter,NEVADA,c,True,0.46266818,0.95691055,0.82431096,-6.226266616143851
winter,CONTROL,a,False,0.94754666,0.95841426,0.9559448,-1.3517877200406603
winter,CONTROL,b,False,0.94754666,0.95841426,0.9559448,-1.3517877200406603
winter,CONTROL,c,False,0.94754666,0.95841426,0.9559448,-1.3517877200406603
winter,CONTROL,d,False,0.94754666,0.95841426,0.9559448,-1.3517877200406603
winter,CONTROL,e,False,0.94754666,0.95841426,0.9559448,-1.3517877200406603
winter,CONTROL,f,False,0.94754666,0.95841426,0.9559448,-1.3517877200406603
summer,BRADY,a,False,0.7078685,0.8898846,0.7981244,-6.810968343901366
summer,BRADY,b,False,0.7078685,0.8898846,0.7981244,-6.810968343901366
summer,BRADY,c,False,0.7078685,0.8898846,0.7981244,-6.810968343901366
summer,MAYA,a,True,0.39924258,0.9467422,0.7429731,-10.35345266200094
summer,MAYA,b,True,0.39634317,0.96045566,0.75153846,-9.924140697902551
summer,MAYA,c,True,0.39634317,0.96045566,0.75153846,-9.924140697902551
summer,GLOBE,a,True,0.39696378,0.9290383,0.7657338,-8.69009927539066
summer,GLOBE,b,True,0.39696378,0.9290383,0.7657338,-8.69009927539066
summer,GLOBE,c,True,0.39696378,0.9290383,0.7657338,-8.69009927539066
summer,ELEONORA,a,True,0.60181344,0.94285834,0.8660111,-4.483036241948734
summer,ELEONORA,b,True,0.60181344,0.94285834,0.86362946,-4.5692928092777505
summer,ELEONORA,c,True,0.6023421,0.94285834,0.86342645,-4.5721926642632456
summer,NEVADA,a,True,0.6143576,0.940079,0.8377531,-5.474879210269782
summer,NEVADA,b,True,0.6143576,0.940079,0.83780885,-5.472993120638738
summer,NEVADA,c,True,0.6119365,0.9391212,0.8425012,-5.29894370582073
summer,CONTROL,a,False,0.78070104,0.8474,0.8243899,-5.8038797706160725
summer,CONTROL,b,False,0.78070104,0.8474,0.8243899,-5.8038797706160725
summer,CONTROL,c,False,0.78070104,0.8474,0.8243899,-5.8038797706160725
summer,TINA,a,True,0.47374266,0.94186753,0.791002,-7.772952838346963
summer,TINA,b,False,0.47374266,0.94186753,0.7917098,-7.747531976174945
summer,TINA,c,False,0.47374266,0.94186753,0.7917098,-7.747531976174945
summer,VENICE,a,True,0.48931825,0.9563419,0.8382882,-5.783877587167235
summer,VENICE,b,True,0.48931825,0.9563419,0.83842564,-5.778218315187925
summer,VENICE,c,True,0.48931825,0.9563419,0.83842564,-5.778218315187925
