Season,Name,death_prediction,death_prediction_probability
summer,BRADY,False,0.0
summer,CONTROL,False,0.0
summer,ELPIDA,False,0.0
summer,GLORY,False,0.0
summer,MOSCOW,False,0.0
summer,TOKYO,False,0.0
summer,SINGAPURA,False,0.0
summer,PISCES,False,0.0
winter,TOKYO,False,0.0
winter,VENICE,False,0.0
winter,SINGAPURA,False,0.0
winter,CONTROL,False,0.1
summer,ELOANE,False,0.3333333333333333
summer,NEVADA,False,0.3333333333333333
summer,TINA,False,0.3333333333333333
winter,ELEONORA,False,0.3333333333333333
winter,MAYA,False,0.3333333333333333
summer,CHARLESTON,False,0.3333333333333333
winter,MOSCOW,False,0.3333333333333333
winter,GLORY,False,0.5
winter,ELOANE,True,0.6666666666666666
summer,VENICE,True,0.6666666666666666
winter,NEVADA,True,0.6666666666666666
summer,JADE,True,0.6666666666666666
summer,LEANNE,True,1.0
winter,ANNA,True,1.0
summer,GLOBE,True,1.0
summer,MAYA,True,1.0
summer,ELEONORA,True,1.0
summer,ANNA,True,1.0
summer,FORSTER,True,1.0
summer,INGY,True,1.0
winter,GLOBE,True,1.0
winter,FORSTER,True,1.0
winter,ELPIDA,True,1.0
winter,BRADY,True,1.0
summer,VENUS,True,1.0
summer,ORPHEUS,True,1.0
winter,INGY,True,1.0
winter,ORPHEUS,True,1.0
winter,TINA,True,1.0
winter,PISCES,True,1.0
winter,VENUS,True,1.0
