Season,Name,death_prediction,death_prediction_probability
winter,CONTROL,False,0.4832562757603666
winter,ELOANE,False,0.4832731813297834
winter,TINA,False,0.48351893555976305
summer,TOKYO,False,0.4836367432260013
winter,VENICE,False,0.4837266807940613
summer,JADE,False,0.48374823263870975
winter,ELEONORA,False,0.48395879529444347
summer,ELOANE,False,0.4839716732321883
summer,CONTROL,False,0.4840963506286548
winter,TOKYO,False,0.4841990401960505
winter,GLORY,False,0.4845944100674753
winter,PISCES,False,0.4846053131361184
winter,ELPIDA,False,0.4849355127006645
winter,MAYA,False,0.48501382089208556
winter,MOSCOW,False,0.48512989084161345
winter,NEVADA,False,0.48534194816983733
winter,SINGAPURA,False,0.48589197308242355
winter,VENUS,False,0.4860071545090523
winter,BRADY,False,0.4862183226309116
summer,PISCES,False,0.4863519365931201
summer,ELPIDA,False,0.48722316714104424
summer,VENICE,False,0.4874778112668547
summer,MOSCOW,False,0.4875829906518241
summer,GLORY,False,0.48798667238115406
summer,BRADY,False,0.48828984972618966
summer,NEVADA,False,0.48849369387247327
summer,SINGAPURA,False,0.4886714897653974
summer,TINA,False,0.48893968323968634
summer,CHARLESTON,False,0.48921046714782374
summer,ELEONORA,False,0.48923116799103683
summer,MAYA,False,0.4980665393639949
winter,INGY,True,0.5040464817861919
summer,LEANNE,True,0.514258398949108
summer,INGY,True,0.5156328763237958
summer,VENUS,True,0.5214244697477048
winter,GLOBE,True,0.5217628824963814
winter,FORSTER,True,0.5222505249474401
winter,ANNA,True,0.5224030031394676
summer,ANNA,True,0.5278711083477324
summer,FORSTER,True,0.5284526473761836
winter,ORPHEUS,True,0.5311424735385686
summer,GLOBE,True,0.5329178861995834
summer,ORPHEUS,True,0.5957688274187465
