Season,Name,death_prediction,death_prediction_probability
summer,CONTROL,False,0.06535515995108822
summer,TOKYO,False,0.07405645970514725
summer,MOSCOW,False,0.08588816711598989
summer,PISCES,False,0.09675521653805087
winter,TOKYO,False,0.10609097915009985
summer,BRADY,False,0.10716464543569165
winter,CONTROL,False,0.11380507875752574
winter,SINGAPURA,False,0.12032569996579877
winter,VENICE,False,0.16666951019842327
summer,CHARLESTON,False,0.19289930854898993
summer,ELOANE,False,0.19465139107799997
summer,ELPIDA,False,0.20125918488227165
winter,ELOANE,False,0.21175429736811904
winter,ELEONORA,False,0.24183804692035046
winter,GLORY,False,0.30527090373115046
winter,MOSCOW,False,0.37875980379279944
summer,TINA,False,0.3913083302199632
summer,JADE,False,0.4251216593287251
summer,GLORY,False,0.49339054501910584
summer,SINGAPURA,True,0.524948092922851
winter,TINA,False,0.5760381922272224
winter,NEVADA,True,0.6253120762981946
winter,PISCES,True,0.7580644255620844
summer,VENICE,True,0.7626687448068438
winter,ELPIDA,True,0.7735296542094953
summer,ELEONORA,True,0.8932916243017269
summer,NEVADA,True,0.9039088169168719
winter,MAYA,True,0.975465306811991
summer,MAYA,True,0.989066060558871
summer,VENUS,True,0.9924442458904523
winter,VENUS,True,0.9962348572006877
winter,BRADY,True,0.9982772157720424
winter,INGY,True,0.9999693555928238
summer,LEANNE,True,0.9999997775940899
winter,ANNA,True,0.9999999999474808
winter,GLOBE,True,0.9999999999586734
summer,FORSTER,True,0.9999999999969678
summer,ORPHEUS,True,0.9999999999997904
summer,ANNA,True,0.9999999999998049
winter,FORSTER,True,0.9999999999998539
winter,ORPHEUS,True,0.9999999999999996
summer,INGY,True,1.0
summer,GLOBE,True,1.0
