Season,Name,death_prediction,death_prediction_probability
winter,CONTROL,False,0.03333333333333333
winter,ELOANE,False,0.03437729983934747
summer,TOKYO,False,0.06666666666666667
winter,TINA,False,0.06666666666666667
winter,VENICE,False,0.1432929161756516
summer,JADE,False,0.16652237228074687
summer,CONTROL,False,0.19166578411768545
winter,ELEONORA,False,0.22380952380952382
summer,ELOANE,False,0.22380952380952382
winter,TOKYO,False,0.24294624952701213
winter,GLORY,False,0.34380952380952384
winter,PISCES,False,0.34380952380952384
winter,MAYA,False,0.34380952380952384
winter,ELPIDA,False,0.34380952380952384
winter,MOSCOW,False,0.34380952380952384
winter,NEVADA,False,0.35353335761323756
winter,SINGAPURA,False,0.4655078078562321
winter,VENUS,True,0.5117233476785278
summer,PISCES,True,0.5571428571428572
summer,VENICE,True,0.5571428571428572
summer,GLORY,True,0.5571428571428572
summer,MOSCOW,True,0.5571428571428572
summer,BRADY,True,0.5571428571428572
summer,ELPIDA,True,0.5571428571428572
winter,BRADY,True,0.5571428571428572
summer,SINGAPURA,True,0.5571428571428572
summer,NEVADA,True,0.623896679327792
summer,TINA,True,0.6562112727151448
summer,CHARLESTON,True,0.7081688047183764
summer,ELEONORA,True,0.7653599549894387
summer,MAYA,True,0.925062764736681
winter,INGY,True,0.9725917473720017
winter,GLOBE,True,1.0
winter,FORSTER,True,1.0
summer,VENUS,True,1.0
winter,ANNA,True,1.0
summer,ORPHEUS,True,1.0
summer,GLOBE,True,1.0
summer,INGY,True,1.0
summer,LEANNE,True,1.0
summer,FORSTER,True,1.0
summer,ANNA,True,1.0
winter,ORPHEUS,True,1.0
