Season,Name,death_prediction_probability,death_prediction,NIS introduction risk
winter,CONTROL,0.3271216276104225,False,HIGH
summer,CONTROL,0.32728511645167835,False,HIGH
winter,VENUS,0.32815716509233944,False,HIGH
summer,TOKYO,0.32838021223115693,False,HIGH
winter,VENICE,0.32838686522680727,False,HIGH
winter,ELOANE,0.32907495989109437,False,HIGH
summer,MOSCOW,0.32918845312277345,False,HIGH
winter,TOKYO,0.32920343020563647,False,HIGH
summer,ELPIDA,0.3292558430751964,False,HIGH
summer,PISCES,0.32940598890785994,False,HIGH
winter,MOSCOW,0.3294859204189274,False,HIGH
summer,BRADY,0.32949074250397004,False,HIGH
summer,CHARLESTON,0.32949895888019654,False,HIGH
summer,JADE,0.329697391226688,False,HIGH
summer,ELOANE,0.3297350612088855,False,HIGH
winter,BRADY,0.32979771061838803,False,HIGH
winter,TINA,0.32982521991628044,False,HIGH
winter,SINGAPURA,0.3299264349843576,False,HIGH
winter,GLORY,0.32995327557943155,False,HIGH
winter,PISCES,0.3299857813800002,False,HIGH
winter,ELEONORA,0.33003515022094837,False,HIGH
summer,SINGAPURA,0.3301368233491771,False,HIGH
winter,ELPIDA,0.3301903962492462,False,HIGH
summer,GLORY,0.3306086476682442,False,HIGH
winter,NEVADA,0.3308988498231499,False,HIGH
winter,MAYA,0.3326472085417236,False,HIGH
summer,TINA,0.3334186566558395,False,HIGH
summer,ELEONORA,0.33438024979409947,False,HIGH
summer,NEVADA,0.3345443965848868,False,HIGH
summer,VENICE,0.3352313301311665,False,HIGH
summer,VENUS,0.3400163590007644,False,HIGH
summer,MAYA,0.44690843163421884,False,HIGH
summer,INGY,0.8077098624923815,True,LOW
winter,INGY,0.8892794786904746,True,LOW
summer,LEANNE,0.8897517195236402,True,LOW
summer,GLOBE,0.8966736253449351,True,LOW
winter,GLOBE,0.9418416549660705,True,LOW
summer,ORPHEUS,0.9447976806622508,True,LOW
winter,ORPHEUS,0.9697432780946924,True,LOW
winter,FORSTER,0.9697587019848412,True,LOW
summer,FORSTER,0.9697882562955659,True,LOW
winter,ANNA,0.9698624873918531,True,LOW
summer,ANNA,0.9699201382971433,True,LOW
