Season,Name,death_prediction_probability,death_prediction,NIS introduction risk
summer,MAYA,0.45377975266692266,False,HIGH
summer,ORPHEUS,0.45377975266692266,False,HIGH
winter,ORPHEUS,0.45377975266692266,False,HIGH
winter,MAYA,0.45377975266692266,False,HIGH
winter,VENUS,0.45377975266692266,False,HIGH
winter,INGY,0.4551087729663921,False,HIGH
winter,CONTROL,0.4551087729663921,False,HIGH
summer,INGY,0.4551087729663921,False,HIGH
summer,FORSTER,0.4609438156681434,False,HIGH
winter,FORSTER,0.4609438156681434,False,HIGH
winter,VENICE,0.4609438156681434,False,HIGH
summer,CONTROL,0.46106477341385693,False,HIGH
winter,TOKYO,0.4627616123962251,False,HIGH
summer,VENUS,0.4627616123962251,False,HIGH
summer,TOKYO,0.4693046062594834,False,HIGH
summer,JADE,0.4725761031911125,False,HIGH
summer,CHARLESTON,0.4725761031911125,False,HIGH
winter,NEVADA,0.4725761031911125,False,HIGH
winter,GLOBE,0.4725761031911125,False,HIGH
winter,ANNA,0.4725761031911125,False,HIGH
summer,LEANNE,0.4725761031911125,False,HIGH
winter,ELOANE,0.47257610319111254,False,HIGH
summer,GLORY,0.4753567715403217,False,HIGH
winter,ELEONORA,0.47813743988953067,False,HIGH
summer,ELPIDA,0.47859655284249825,False,HIGH
summer,ANNA,0.48091810823873987,False,HIGH
summer,SINGAPURA,0.48091810823873987,False,HIGH
winter,BRADY,0.48091810823873987,False,HIGH
summer,PISCES,0.48091810823873987,False,HIGH
summer,BRADY,0.48091810823873987,False,HIGH
summer,GLOBE,0.48274662674991325,False,HIGH
summer,NEVADA,0.4880071770134842,False,HIGH
winter,SINGAPURA,0.49063745214526966,False,HIGH
winter,GLORY,0.49063745214526966,False,HIGH
summer,TINA,0.49063745214526966,False,HIGH
summer,VENICE,0.49063745214526966,False,HIGH
summer,ELEONORA,0.49063745214526966,False,HIGH
summer,ELOANE,0.49063745214526966,False,HIGH
summer,MOSCOW,0.49063745214526966,False,HIGH
winter,MOSCOW,0.49063745214526966,False,HIGH
winter,TINA,0.5028321768003058,True,LOW
winter,ELPIDA,0.5042681483449549,True,LOW
winter,PISCES,0.5042681483449549,True,LOW
