Season,Name,death_prediction_probability,death_prediction,NIS introduction risk
winter,CONTROL,0.2854697395431202,False,HIGH
summer,CONTROL,0.2880950345720491,False,HIGH
winter,VENICE,0.29379227857439494,False,HIGH
summer,TOKYO,0.2982463628041135,False,HIGH
winter,TOKYO,0.3040477471178975,False,HIGH
winter,VENUS,0.3040477471178975,False,HIGH
winter,PISCES,0.3203123406367854,False,HIGH
summer,ELPIDA,0.3268350091921975,False,HIGH
winter,ELOANE,0.3268350091921975,False,HIGH
winter,GLORY,0.3268350091921975,False,HIGH
winter,MOSCOW,0.3268350091921975,False,HIGH
winter,TINA,0.3268350091921975,False,HIGH
summer,PISCES,0.3268350091921975,False,HIGH
winter,BRADY,0.3268350091921975,False,HIGH
summer,MOSCOW,0.3268350091921975,False,HIGH
winter,ELPIDA,0.3268350091921975,False,HIGH
summer,ELOANE,0.3404404574059532,False,HIGH
winter,SINGAPURA,0.3404404574059532,False,HIGH
winter,ELEONORA,0.3404404574059532,False,HIGH
summer,CHARLESTON,0.3404404574059532,False,HIGH
summer,JADE,0.3404404574059532,False,HIGH
summer,BRADY,0.3404404574059532,False,HIGH
summer,SINGAPURA,0.3458750517838436,False,HIGH
winter,NEVADA,0.394309709933869,False,HIGH
summer,NEVADA,0.4025386389858614,False,HIGH
summer,TINA,0.4045849241486275,False,HIGH
summer,GLORY,0.4201574855695422,False,HIGH
winter,MAYA,0.42877153563299947,False,HIGH
summer,ELEONORA,0.4539947048462063,False,HIGH
summer,VENICE,0.4728624173820943,False,HIGH
summer,VENUS,0.5994966818088313,True,LOW
summer,MAYA,0.8010148085551138,True,LOW
winter,GLOBE,0.9075146441137337,True,LOW
winter,FORSTER,0.9075146441137337,True,LOW
summer,ORPHEUS,0.9075146441137337,True,LOW
winter,ANNA,0.9075146441137337,True,LOW
summer,FORSTER,0.9075146441137337,True,LOW
summer,GLOBE,0.9075146441137337,True,LOW
summer,INGY,0.9075146441137337,True,LOW
summer,LEANNE,0.9075146441137337,True,LOW
summer,ANNA,0.9075146441137337,True,LOW
winter,INGY,0.9075146441137337,True,LOW
winter,ORPHEUS,0.9075146441137337,True,LOW
