Ship,Port,Longitude,Latitude,Time,Relative time (hours),Temperature (celsius),Chlorophyll (mg/m^3),Salinity (ppt),Season
NYK ORPHEUS,LOS ANGELES,-118.22531,33.7372,05/07/21 18:26:00,0.0,20.72,1.268,33.48,summer
NYK ORPHEUS,OAKLAND,-122.28937,37.79358,06/07/21 17:23:00,22.95,20.14,5.3452,4.17,summer
NYK ORPHEUS,OAKLAND,-122.28937,37.79358,07/07/21 00:00:00,29.566666666666663,20.14,5.3452,4.17,summer
NYK ORPHEUS,OAKLAND,-122.28937,37.79358,08/07/21 18:32:00,72.1,20.14,5.3452,4.17,summer
NYK ORPHEUS,-,-129.49313014285715,39.503910857142856,09/07/21 00:00:00,77.56666666666666,18.54,0.1208,32.739616,summer
NYK ORPHEUS,-,-131.61141085714286,39.940921571428575,10/07/21 00:00:00,101.56666666666666,19.56,0.0945,32.687515,summer
NYK ORPHEUS,-,-136.00103171428572,40.84550142857143,11/07/21 00:00:00,125.56666666666666,19.7,0.0912,32.697613,summer
NYK ORPHEUS,-,-139.35090528571428,41.34103614285714,12/07/21 00:00:00,149.56666666666666,19.41,0.1087,32.87475,summer
NYK ORPHEUS,-,-144.11717914285714,41.97258028571429,13/07/21 00:00:00,173.56666666666666,17.23,0.184,32.654613,summer
NYK ORPHEUS,-,-150.13459742857142,42.422382000000006,14/07/21 00:00:00,197.56666666666663,16.5,0.1126,33.013367,summer
NYK ORPHEUS,-,-154.696968,42.520984,15/07/21 00:00:00,221.56666666666663,15.63,0.1296,32.915928,summer
NYK ORPHEUS,-,-159.76656942857144,42.48286314285714,16/07/21 00:00:00,245.56666666666663,15.04,0.1251,33.095913,summer
NYK ORPHEUS,-,-167.60332714285715,41.93981142857143,17/07/21 00:00:00,269.56666666666666,15.92,0.2707,33.709755,summer
NYK ORPHEUS,-,-176.9951571428571,40.55697142857144,18/07/21 00:00:00,293.56666666666666,18.54,0.3846,33.70769,summer
NYK ORPHEUS,-,-187.14262857142856,40.06097142857143,19/07/21 00:00:00,317.56666666666666,19.7,0.2272,33.930336,summer
NYK ORPHEUS,-,-201.42845714285716,40.03048571428571,20/07/21 00:00:00,341.56666666666666,19.7,0.2272,33.930336,summer
NYK ORPHEUS,-,-210.63868571428569,39.71858571428572,21/07/21 00:00:00,365.56666666666666,22.62,0.1342,34.107086,summer
NYK ORPHEUS,TOKYO,139.80903,35.62071,22/07/21 07:01:00,396.5833333333333,27.86,0.5657,14.67,summer
NYK ORPHEUS,TOKYO,139.80903,35.62071,23/07/21 04:46:00,418.3333333333333,27.86,0.5657,14.67,summer
NYK ORPHEUS,KOBE,135.29395,34.6675,24/07/21 07:10:00,444.73333333333335,28.74,18.906,32.48,summer
NYK ORPHEUS,KOBE,135.29395,34.6675,25/07/21 02:01:00,463.5833333333333,28.74,18.906,32.48,summer
NYK ORPHEUS,NAGOYA,136.84288,35.0272,26/07/21 19:42:00,505.26666666666665,27.86,6.8334,32.36,summer
NYK ORPHEUS,TOKYO,139.80903,35.62071,27/07/21 12:20:00,521.9,27.86,0.5657,14.67,summer
NYK ORPHEUS,TOKYO,139.80903,35.62071,28/07/21 05:47:00,539.35,27.86,0.5657,14.67,summer
NYK ORPHEUS,-,139.143894,33.80018385714286,29/07/21 00:00:00,557.5666666666667,27.57,0.0912,34.544033,summer
NYK ORPHEUS,-,136.2800575714286,29.901260285714287,30/07/21 00:00:00,581.5666666666667,29.17,0.0739,34.722046,summer
NYK ORPHEUS,-,131.418148,27.23620942857143,31/07/21 00:00:00,605.5666666666667,28.88,0.0599,34.71388,summer
NYK ORPHEUS,-,124.92191714285714,21.77590057142857,01/08/21 00:00:00,629.5666666666667,29.32,0.0485,34.573692,summer
NYK ORPHEUS,-,120.85714285714286,19.0,02/08/21 00:00:00,653.5666666666667,29.61,0.1491,33.548862,summer
NYK ORPHEUS,-,112.36072671428572,10.306734571428576,03/08/21 00:00:00,677.5666666666667,28.44,0.1777,33.276817,summer
MSC TINA,KORFEZ,29.74765,40.75568,02/07/21 08:43:00,0.0,24.07,40.9148,27.88,summer
MSC TINA,AMBARLI,28.67439,40.9597,03/07/21 00:00:00,15.283333333333331,25.24,1.5112,27.8,summer
MSC TINA,AMBARLI,28.67439,40.9597,04/07/21 23:20:00,62.61666666666667,25.24,1.5112,27.8,summer
MSC TINA,BARBAROS,27.47185,40.89835,05/07/21 03:44:00,67.01666666666667,25.39,0.8322,29.12,summer
MSC TINA,BARBAROS,27.47185,40.89835,06/07/21 00:00:00,87.28333333333333,25.39,0.8322,29.12,summer
MSC TINA,BARBAROS,27.47185,40.89835,07/07/21 00:51:00,112.13333333333334,25.39,0.8322,29.12,summer
MSC TINA,-,24.520041,37.90673,08/07/21 00:00:00,135.28333333333333,24.95,0.144,38.84082,summer
MSC TINA,PIRAEUS,23.62904,37.94056,09/07/21 18:35:00,177.86666666666667,26.41,0.1491,38.57,summer
MSC TINA,PIRAEUS,23.62904,37.94056,10/07/21 14:28:00,197.75,26.41,0.1491,38.57,summer
MSC TINA,-,20.398251,37.883704,11/07/21 00:00:00,207.28333333333333,26.11,0.0945,38.939346,summer
MSC TINA,MARSAXLOKK,14.5469,35.8237,12/07/21 03:15:00,234.53333333333333,26.7,0.0979,37.76,summer
MSC TINA,MARSAXLOKK,14.5469,35.8237,13/07/21 00:00:00,255.28333333333333,26.7,0.0979,37.76,summer
MSC TINA,MARSAXLOKK,14.5469,35.8237,14/07/21 00:59:00,280.26666666666665,26.7,0.0979,37.76,summer
MSC TINA,-,24.5513695,33.725435999999995,15/07/21 00:00:00,303.28333333333336,25.97,0.0793,39.159492,summer
MSC TINA,SUEZ CANAL,32.38447,30.34374,16/07/21 05:56:00,333.21666666666664,30.63,2.9436,38.97,summer
MSC TINA,-,33.75,27.9,17/07/21 00:00:00,351.28333333333336,26.7,0.2272,39.225048,summer
MSC TINA,KING ABDULLAH,39.08914,22.52306,18/07/21 06:38:00,381.9166666666667,30.19,0.4125,39.31,summer
MSC TINA,KING ABDULLAH,39.08914,22.52306,19/07/21 14:53:00,414.1666666666667,30.19,0.4125,39.31,summer
MSC TINA,-,42.65,13.85,20/07/21 00:00:00,423.28333333333336,30.05,0.2118,38.250336,summer
MSC TINA,-,45.0,12.0,21/07/21 00:00:00,447.28333333333336,29.46,0.2904,35.33194,summer
MSC TINA,-,56.6,18.1,22/07/21 00:00:00,471.28333333333336,21.16,1.4591,36.53581,summer
MSC TINA,-,59.0,24.0,23/07/21 00:00:00,495.28333333333336,30.78,2.3025,37.393684,summer
MSC TINA,-,56.5815305,26.411056,24/07/21 00:00:00,519.2833333333333,31.65,0.4747,39.601036,summer
MSC TINA,KHALIFA,54.66774,24.80785,25/07/21 04:11:00,547.4666666666667,33.54,1.6211,39.54,summer
MSC TINA,JEBEL ALI,55.04112,25.02413,26/07/21 03:19:00,570.6,33.54,1.5652,28.84,summer
MSC TINA,JEBEL ALI,55.04112,25.02413,27/07/21 07:05:00,598.3666666666667,33.54,1.5652,28.84,summer
MSC TINA,-,57.3375,25.3125,28/07/21 00:00:00,615.2833333333333,31.65,0.4747,36.490177,summer
MSC TINA,-,62.907107,21.10128075,29/07/21 00:00:00,639.2833333333333,26.55,0.4125,36.993565,summer
MSC TINA,-,66.41926075,17.292801375,30/07/21 00:00:00,663.2833333333333,27.57,0.2437,36.52454,summer
MSC TINA,-,69.4005765,14.2221485,31/07/21 00:00:00,687.2833333333333,27.43,0.1906,36.637077,summer
APL SINGAPURA,MARSAXLOKK,14.5469,35.8237,03/07/21 14:41:00,0.0,26.7,0.0979,37.76,summer
APL SINGAPURA,MARSAXLOKK,14.5469,35.8237,04/07/21 00:00:00,9.316666666666666,26.7,0.0979,37.76,summer
APL SINGAPURA,MARSAXLOKK,14.5469,35.8237,05/07/21 03:30:00,36.81666666666667,26.7,0.0979,37.76,summer
APL SINGAPURA,-,21.855128,34.44888733333333,06/07/21 00:00:00,57.31666666666667,25.97,0.0739,38.957226,summer
APL SINGAPURA,-,28.19195033333333,32.748601666666666,07/07/21 00:00:00,81.31666666666666,26.41,0.0539,39.169346,summer
APL SINGAPURA,SUEZ CANAL,32.38447,30.34374,08/07/21 11:42:00,117.01666666666668,30.63,2.9436,38.97,summer
APL SINGAPURA,-,33.75,27.9,09/07/21 00:00:00,129.31666666666666,26.7,0.2272,39.225048,summer
APL SINGAPURA,JEDDAH,39.14749,21.46219,10/07/21 23:29:00,176.8,29.76,0.2707,39.31,summer
APL SINGAPURA,JEDDAH,39.14749,21.46219,11/07/21 22:06:00,199.41666666666663,29.76,0.2707,39.31,summer
APL SINGAPURA,-,42.43333333333333,14.233333333333333,12/07/21 00:00:00,201.31666666666663,30.63,0.2118,38.250336,summer
APL SINGAPURA,-,44.48833333333334,12.211366666666668,13/07/21 00:00:00,225.31666666666663,29.17,0.2904,37.741596,summer
APL SINGAPURA,-,54.2,16.2,14/07/21 00:00:00,249.31666666666663,26.26,2.3847,35.850193,summer
APL SINGAPURA,-,59.93333333333333,23.133333333333333,15/07/21 00:00:00,273.31666666666666,29.76,0.2524,37.243256,summer
APL SINGAPURA,-,56.875374,26.11474133333333,16/07/21 00:00:00,297.31666666666666,31.8,0.4747,39.601036,summer
APL SINGAPURA,JEBEL ALI,55.04112,25.02413,17/07/21 00:01:00,321.3333333333333,33.54,1.5652,28.84,summer
APL SINGAPURA,JEBEL ALI,55.04112,25.02413,18/07/21 10:31:00,355.8333333333333,33.54,1.5652,28.84,summer
APL SINGAPURA,-,57.057882625000005,25.615264,19/07/21 00:00:00,369.31666666666666,31.94,0.4747,39.601036,summer
APL SINGAPURA,-,61.881982,21.75533075,20/07/21 00:00:00,393.31666666666666,28.15,0.4125,36.102623,summer
APL SINGAPURA,-,65.7684265,18.239494125,21/07/21 00:00:00,417.31666666666666,26.99,0.3983,36.48103,summer
APL SINGAPURA,-,68.1869275,15.1472495,22/07/21 00:00:00,441.31666666666666,27.72,0.1906,36.255863,summer
APL SINGAPURA,-,72.8990625,11.5459375,23/07/21 00:00:00,465.31666666666666,28.44,0.2193,35.770557,summer
APL SINGAPURA,-,80.55,5.825,24/07/21 00:00:00,489.31666666666666,28.15,5.7338,34.039818,summer
APL SINGAPURA,-,90.5,6.4956000000000005,25/07/21 00:00:00,513.3166666666667,29.46,0.1342,33.486465,summer
