Ship,Port,Longitude,Latitude,Time,Relative time (hours),Temperature (celsius),Chlorophyll (mg/m^3),Salinity (ppt)
NYK ORPHEUS,LOS ANGELES,-118.22531,33.7372,05/01/2021 18:26,0,15.92,1.3133,33.48
NYK ORPHEUS,OAKLAND,-122.28937,37.79358,06/01/2021 17:23,22.95,12.57,4.181,4.17
NYK ORPHEUS,OAKLAND,-122.28937,37.79358,07/01/2021 00:00,29.56666667,12.57,4.181,4.17
NYK ORPHEUS,OAKLAND,-122.28937,37.79358,08/01/2021 18:32,72.1,12.57,4.181,4.17
NYK ORPHEUS,-,-129.4931301,39.50391086,09/01/2021 00:00,77.56666667,12.71,0.4747,32.48621
NYK ORPHEUS,-,-131.6114109,39.94092157,10/01/2021 00:00,101.5666667,12.86,0.2045,32.863884
NYK ORPHEUS,-,-136.0010317,40.84550143,11/01/2021 00:00,125.5666667,13,0.2193,32.55632
NYK ORPHEUS,-,-139.3509053,41.34103614,12/01/2021 00:00,149.5666667,12.42,0.1906,32.632984
NYK ORPHEUS,-,-144.1171791,41.97258029,13/01/2021 00:00,173.5666667,10.38,0.2614,32.502117
NYK ORPHEUS,-,-150.1345974,42.422382,14/01/2021 00:00,197.5666667,9.51,0.4272,32.645275
NYK ORPHEUS,-,-154.696968,42.520984,15/01/2021 00:00,221.5666667,9.22,0.3846,33.05247
NYK ORPHEUS,-,-159.7665694,42.48286314,16/01/2021 00:00,245.5666667,8.93,0.3342,32.960403
NYK ORPHEUS,-,-167.6033271,41.93981143,17/01/2021 00:00,269.5666667,9.36,0.2524,33.569244
NYK ORPHEUS,-,-176.9951571,40.55697143,18/01/2021 00:00,293.5666667,10.82,0.2118,33.932064
NYK ORPHEUS,-,-187.1426286,40.06097143,19/01/2021 00:00,317.5666667,12.71,0.3008,34.199112
NYK ORPHEUS,-,-201.4284571,40.03048571,20/01/2021 00:00,341.5666667,12.71,0.3008,34.199112
NYK ORPHEUS,-,-210.6386857,39.71858571,21/01/2021 00:00,365.5666667,12.71,0.2524,34.23018
NYK ORPHEUS,TOKYO,139.80903,35.62071,22/01/2021 07:01,396.5833333,11.69,6.5978,14.67
NYK ORPHEUS,TOKYO,139.80903,35.62071,23/01/2021 04:46,418.3333333,11.69,6.5978,14.67
NYK ORPHEUS,KOBE,135.29395,34.6675,24/01/2021 07:10,444.7333333,11.26,5.536,32.48
NYK ORPHEUS,KOBE,135.29395,34.6675,25/01/2021 02:01,463.5833333,11.26,5.536,32.48
NYK ORPHEUS,NAGOYA,136.84288,35.0272,26/01/2021 19:42,505.2666667,10.96,4.8111,32.36
NYK ORPHEUS,TOKYO,139.80903,35.62071,27/01/2021 12:20,521.9,11.69,6.5978,14.67
NYK ORPHEUS,TOKYO,139.80903,35.62071,28/01/2021 05:47,539.35,11.69,6.5978,14.67
NYK ORPHEUS,-,139.143894,33.80018386,29/01/2021 00:00,557.5666667,21.02,0.2193,34.561684
NYK ORPHEUS,-,136.2800576,29.90126029,30/01/2021 00:00,581.5666667,21.16,0.1777,34.75514
NYK ORPHEUS,-,131.418148,27.23620943,31/01/2021 00:00,605.5666667,23.35,0.144,34.699978
NYK ORPHEUS,-,124.9219171,21.77590057,01/02/2021 00:00,629.5666667,25.68,0.0945,34.79559
NYK ORPHEUS,-,120.8571429,19,02/02/2021 00:00,653.5666667,26.84,0.1544,34.13816
NYK ORPHEUS,-,112.3607267,10.30673457,03/02/2021 00:00,677.5666667,27.28,0.139,33.453037
MSC TINA,KORFEZ,29.74765,40.75568,02/01/2021 08:43,0,8.49,5.1608,27.88
MSC TINA,AMBARLI,28.67439,40.9597,03/01/2021 00:00,15.28333333,8.2,3.8976,27.8
MSC TINA,AMBARLI,28.67439,40.9597,04/01/2021 23:20,62.61666667,8.2,3.8976,27.8
MSC TINA,BARBAROS,27.47185,40.89835,05/01/2021 03:44,67.01666667,8.49,2.2231,29.12
MSC TINA,BARBAROS,27.47185,40.89835,06/01/2021 00:00,87.28333333,8.49,2.2231,29.12
MSC TINA,BARBAROS,27.47185,40.89835,07/01/2021 00:51,112.1333333,8.49,2.2231,29.12
MSC TINA,-,24.520041,37.90673,08/01/2021 00:00,135.2833333,14.31,0.3585,38.921352
MSC TINA,PIRAEUS,23.62904,37.94056,09/01/2021 18:35,177.8666667,14.46,0.4425,38.57
MSC TINA,PIRAEUS,23.62904,37.94056,10/01/2021 14:28,197.75,14.46,0.4425,38.57
MSC TINA,-,20.398251,37.883704,11/01/2021 00:00,207.2833333,16.21,0.2272,38.58463
MSC TINA,MARSAXLOKK,14.5469,35.8237,12/01/2021 03:15,234.5333333,15.33,0.3983,37.76
MSC TINA,MARSAXLOKK,14.5469,35.8237,13/01/2021 00:00,255.2833333,15.33,0.3983,37.76
MSC TINA,MARSAXLOKK,14.5469,35.8237,14/01/2021 00:59,280.2666667,15.33,0.3983,37.76
MSC TINA,-,24.5513695,33.725436,15/01/2021 00:00,303.2833333,16.06,0.1777,39.122715
MSC TINA,SUEZ CANAL,32.38447,30.34374,16/01/2021 05:56,333.2166667,16.21,3.7632,38.97
MSC TINA,-,33.75,27.9,17/01/2021 00:00,351.2833333,22.33,0.4425,39.149414
MSC TINA,KING ABDULLAH,39.08914,22.52306,18/01/2021 06:38,381.9166667,26.26,0.3227,39.31
MSC TINA,KING ABDULLAH,39.08914,22.52306,19/01/2021 14:53,414.1666667,26.26,0.3227,39.31
MSC TINA,-,42.65,13.85,20/01/2021 00:00,423.2833333,25.39,0.8619,36.77601
MSC TINA,-,45,12,21/01/2021 00:00,447.2833333,26.11,0.4747,36.11947
MSC TINA,-,56.6,18.1,22/01/2021 00:00,471.2833333,24.66,9.706,35.847435
MSC TINA,-,59,24,23/01/2021 00:00,495.2833333,24.51,7.3303,36.875595
MSC TINA,-,56.5815305,26.411056,24/01/2021 00:00,519.2833333,23.93,3.5082,35.686447
MSC TINA,KHALIFA,54.66774,24.80785,25/01/2021 04:11,547.4666667,22.47,1.5652,39.54
MSC TINA,JEBEL ALI,55.04112,25.02413,26/01/2021 03:19,570.6,22.76,3.0487,28.84
MSC TINA,JEBEL ALI,55.04112,25.02413,27/01/2021 07:05,598.3666667,22.76,3.0487,28.84
MSC TINA,-,57.3375,25.3125,28/01/2021 00:00,615.2833333,24.07,1.4591,37.162296
MSC TINA,-,62.907107,21.10128075,29/01/2021 00:00,639.2833333,24.95,1.679,36.387638
MSC TINA,-,66.41926075,17.29280138,30/01/2021 00:00,663.2833333,25.68,0.6068,36.661533
MSC TINA,-,69.4005765,14.2221485,31/01/2021 00:00,687.2833333,27.13,0.3846,36.626118
APL SINGAPURA,MARSAXLOKK,14.5469,35.8237,03/01/2021 14:41,0,15.33,0.3983,37.76
APL SINGAPURA,MARSAXLOKK,14.5469,35.8237,04/01/2021 00:00,9.316666667,15.33,0.3983,37.76
APL SINGAPURA,MARSAXLOKK,14.5469,35.8237,05/01/2021 03:30,36.81666667,15.33,0.3983,37.76
APL SINGAPURA,-,21.855128,34.44888733,06/01/2021 00:00,57.31666667,15.92,0.1906,39.019222
APL SINGAPURA,-,28.19195033,32.74860167,07/01/2021 00:00,81.31666667,17.52,0.1599,39.534264
APL SINGAPURA,SUEZ CANAL,32.38447,30.34374,08/01/2021 11:42,117.0166667,16.21,3.7632,38.97
APL SINGAPURA,-,33.75,27.9,09/01/2021 00:00,129.3166667,22.33,0.4425,39.149414
APL SINGAPURA,JEDDAH,39.14749,21.46219,10/01/2021 23:29,176.8,26.7,0.4425,39.31
